Date,NEPSE,Banking,Hydropower,Hotels And Tourism,Finance,Investment,LifeInsurance,Manufacture,NonLifeInsurance,Others,Mutual Fund,Microfinance,DevBank,Trading
2021-02-28,2474.39,1792.25,1939.87,2061.97,1128.39,95.87,16974.42,5385.16,12774.18,2008.4,13.25,4218.27,2563.9,2934.85
2021-03-01,2515.03,1819.07,1970.66,2117.78,1151.46,97.66,17333.59,5453.47,12958.01,2036.02,13.28,4299.76,2601.15,3032.19
2021-03-02,2455.33,1773.52,1929.67,2134.64,1128.61,95.74,16813.92,5302.98,12614.44,1992.79,13.07,4187.68,2540.5,3310.68
2021-03-03,2416.01,1756.09,1909.36,2169.81,1116.29,93.48,16361.39,5215.4,12446.56,1908.44,12.94,4131.25,2507.11,3617.21
2021-03-04,2506.68,1808.13,2000.54,2234.68,1147.3,98.39,16933.35,5406.08,12771.01,2012.31,12.97,4340.31,2570.41,3873.92
2021-03-07,2485.1,1795.72,2018.88,2284.83,1144.04,96.64,16627.03,5323.78,12685.51,1994.59,12.95,4288.52,2564.85,3692.45
2021-03-09,2461.88,1773.94,2055.27,2352.94,1139.6,95.31,16425.47,5235.04,12570.81,1974.18,12.96,4241.06,2542.85,3642.62
2021-03-10,2458.49,1763.05,2059.45,2404.66,1144.14,95.33,16296.64,5330.8,12443.45,2012.91,12.93,4201.06,2532.01,3939.59
2021-03-14,2407.26,1730.72,2107.28,2465.77,1125.25,92.78,15842.75,5234.45,12068.91,1916.54,12.73,4110.38,2494.17,3726.43
2021-03-15,2389.19,1713.31,2106.5,2556.71,1118.04,93.3,15721.69,5244.65,11876.3,1878.12,12.74,4085.15,2483.17,3781.54
2021-03-16,2391.75,1716.98,2074.67,2642.71,1119.25,93.51,15951.98,5267.9,11813.7,1858.01,12.73,4112.51,2480.82,3708.94
2021-03-17,2432.15,1736.13,2105.68,2755.4,1132.79,94.77,16324.55,5365.97,12038.57,1905.44,12.83,4226.38,2507.63,3751.84
2021-03-18,2475.09,1762.24,2108.83,2868.28,1146.94,96.73,16740.02,5528.1,12229.66,1946.56,12.89,4328.51,2532.0,3712.24
2021-03-21,2538.47,1788.76,2122.63,3022.05,1153.31,97.97,17482.79,5700.99,12791.0,2004.5,13.05,4575.11,2578.87,3725.44
2021-03-22,2514.4,1767.29,2224.36,3127.48,1145.13,96.57,17166.83,5571.77,12607.42,1973.88,13.0,4482.33,2557.93,3708.94
2021-03-23,2528.96,1760.61,2354.2,3282.99,1140.39,97.6,17068.05,5529.44,12781.46,1962.47,13.02,4551.33,2551.88,4055.4
2021-03-24,2570.31,1783.16,2339.25,3461.55,1162.69,102.53,17209.27,5583.97,13002.5,1982.89,13.27,4673.8,2573.16,4436.51
2021-03-25,2548.97,1763.5,2294.96,3615.62,1159.81,103.72,17039.47,5533.98,12948.34,1945.66,13.17,4626.26,2553.24,4611.39
2021-03-29,2543.52,1756.57,2319.48,3476.43,1165.01,103.66,17008.82,5513.8,12926.45,1926.45,13.11,4670.76,2552.75,4398.57
