"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SICL","2024-09-25","790","803","782.1","799","1.02 %","21,549.00"
"SICL","2024-09-24","788","832","785","790.9","-1.14 %","24,673.00"
"SICL","2024-09-23","825","825","800","800","-2.20 %","19,446.00"
"SICL","2024-09-22","836.4","845","816","818","-0.24 %","12,989.00"
"SICL","2024-09-18","835","842","820","820","-1.80 %","16,930.00"
"SICL","2024-09-16","850","860","835","835","-2.91 %","16,755.00"
"SICL","2024-09-15","872.1","881","855.1","860","-0.58 %","22,189.00"
"SICL","2024-09-12","855","868","842.8","865","1.17 %","19,605.00"
"SICL","2024-09-11","865","870","855","855","-0.82 %","8,999.00"
"SICL","2024-09-10","867","885","861.6","862.1","-0.57 %","19,009.00"
"SICL","2024-09-09","883","891.5","864.4","867","-2.04 %","28,310.00"
"SICL","2024-09-08","915","925","885","885.1","-2.74 %","27,788.00"
"SICL","2024-09-05","896.1","915","890.1","910","-0.38 %","35,224.00"
"SICL","2024-09-04","950","972","913.5","913.5","-5.14 %","56,853.00"
"SICL","2024-09-03","920","980","917","963","5.25 %","55,820.00"
"SICL","2024-09-02","885","924","876.1","915","3.75 %","46,243.00"
"SICL","2024-09-01","899.1","907","880","881.9","-1.91 %","40,227.00"
"SICL","2024-08-29","900","913","887","899.1","-1.20 %","82,159.00"
"SICL","2024-08-28","929","966.4","902","910","-2.05 %","40,434.00"
"SICL","2024-08-27","959","965.5","929","929","-4.03 %","74,292.00"
"SICL","2024-08-25","976","990","961","968","-0.82 %","81,804.00"
"SICL","2024-08-22","993","1000","975.6","976","-1.71 %","68,814.00"
"SICL","2024-08-21","1006","1045","990","993","-1.29 %","77,911.00"
"SICL","2024-08-18","1060.8","1060.8","999","1006","-3.27 %","98,358.00"
"SICL","2024-08-15","1080","1080","1035","1040","-2.35 %","71,250.00"
"SICL","2024-08-14","1058.7","1120","1021","1065","2.60 %","118,995.00"
"SICL","2024-08-13","1043.4","1069","1000","1038","1.47 %","107,351.00"
"SICL","2024-08-12","949","1024","935","1023","9.88 %","109,742.00"
"SICL","2024-08-11","915","938","913","931","2.76 %","62,590.00"
"SICL","2024-08-08","907","931","902","906","0.44 %","67,888.00"
"SICL","2024-08-07","897.6","902.7","872","902","2.50 %","66,956.00"
"SICL","2024-08-06","905","930.3","870","880","-3.52 %","104,406.00"
"SICL","2024-08-05","894","917","894","912.1","2.48 %","57,996.00"
"SICL","2024-08-01","880","910","870","890","2.30 %","94,528.00"
"SICL","2024-07-31","869.8","879.9","860","870","1.52 %","51,777.00"
"SICL","2024-07-30","861","870","830.1","857","-0.46 %","49,562.00"
"SICL","2024-07-29","870.2","885","856.1","861","-1.06 %","67,822.00"
"SICL","2024-07-28","858.8","890","842","870.2","3.35 %","54,979.00"
"SICL","2024-07-25","840","854","830","842","-0.34 %","49,081.00"
"SICL","2024-07-24","850","860","831","844.9","-0.46 %","59,713.00"
"SICL","2024-07-23","798.7","855","798.7","848.8","4.15 %","47,949.00"
"SICL","2024-07-22","827","829","798","815","0.14 %","41,608.00"
"SICL","2024-07-21","795","814","790","813.9","2.38 %","51,605.00"
"SICL","2024-07-18","785","811","784","795","1.92 %","62,627.00"
"SICL","2024-07-17","740","780","740","780","5.48 %","35,804.00"
"SICL","2024-07-16","730","743","720","739.5","2.28 %","23,617.00"
"SICL","2024-07-15","747.6","748","720.1","723","-1.50 %","20,997.00"
"SICL","2024-07-14","734.2","748","721","734","1.96 %","13,925.00"
"SICL","2024-07-11","719","723","715","719.9","0.69 %","16,532.00"
"SICL","2024-07-10","713","718.9","705","715","1.42 %","18,805.00"
"SICL","2024-07-09","695.1","706.7","695.1","705","0.57 %","11,316.00"
"SICL","2024-07-08","709","709","697","701","0.29 %","11,114.00"
"SICL","2024-07-07","699.1","705","692.7","699","1.13 %","22,835.00"
"SICL","2024-07-04","702","702","688.1","691.2","0.17 %","14,035.00"
