"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BANKING","2019-12-04","1021.99","1026.37","1021.13","1024.3","0.00 %","104,426,000.00"
"BANKING","2019-12-05","1024.3","1030.89","1024.25","1026.41","0.00 %","111,944,000.00"
"BANKING","2019-12-08","1026.41","1029.32","1023.93","1026.89","0.00 %","95,693,800.00"
"BANKING","2019-12-09","1026.46","1041.48","1024.95","1034.8","0.00 %","131,173,000.00"
"BANKING","2019-12-10","1035.14","1044.6","1034.53","1041.88","0.00 %","227,655,000.00"
"BANKING","2019-12-11","1043.48","1050.25","1043.27","1046.15","0.00 %","151,714,000.00"
"BANKING","2019-12-12","1047.12","1049.85","1043.68","1048.97","0.00 %","160,600,000.00"
"BANKING","2019-12-15","1048.86","1062.63","1048.86","1051.79","0.00 %","263,422,000.00"
"BANKING","2019-12-16","1052.31","1057.55","1043.95","1044.56","0.00 %","158,209,000.00"
"BANKING","2019-12-17","1045.03","1047.29","1041.01","1042.98","0.00 %","109,512,000.00"
"BANKING","2019-12-18","1043.13","1045.08","1039.28","1041.24","0.00 %","134,640,000.00"
"BANKING","2019-12-19","1041.24","1042.17","1038.48","1039.3","0.00 %","241,061,000.00"
"BANKING","2019-12-22","1039.26","1040.94","1036.77","1038.38","0.00 %","156,994,000.00"
"BANKING","2019-12-23","1038.6","1044.01","1038.1","1041.7","0.00 %","248,388,000.00"
"BANKING","2019-12-24","1041.7","1047.32","1041.59","1042.55","0.00 %","206,807,000.00"
"BANKING","2019-12-25","1043.49","1046.16","1040.86","1042.97","0.00 %","225,913,000.00"
"BANKING","2019-12-26","1042.2","1044.79","1042.11","1043.66","0.00 %","284,256,000.00"
"BANKING","2019-12-29","1042.96","1042.96","1032.74","1035.01","0.00 %","118,485,000.00"
"BANKING","2019-12-30","1036.75","1036.75","1028.17","1032.8","0.00 %","126,595,000.00"
"BANKING","2019-12-31","1033.25","1036.68","1031.68","1034.84","0.00 %","96,873,700.00"
"BANKING","2020-01-01","1034.32","1038.22","1033.19","1038.22","0.00 %","82,437,000.00"
"BANKING","2020-01-02","1036.75","1038.22","1035.2","1036.01","0.00 %","114,475,000.00"
"BANKING","2020-01-05","1034.45","1057.37","1031.79","1052.75","0.00 %","211,739,000.00"
"BANKING","2020-01-06","1054.07","1078.62","1054.07","1078.62","0.00 %","373,372,000.00"
"BANKING","2020-01-07","1079.27","1098.34","1079.27","1097.64","0.00 %","579,964,000.00"
"BANKING","2020-01-08","1097.98","1102.73","1085.06","1086.43","0.00 %","272,283,000.00"
"BANKING","2020-01-09","1087.07","1090.68","1080.51","1085.01","0.00 %","143,764,000.00"
"BANKING","2020-01-12","1085.46","1112.31","1085.46","1112.31","0.00 %","357,041,000.00"
"BANKING","2020-01-13","1112.95","1138.09","1112.95","1127.12","0.00 %","554,586,000.00"
"BANKING","2020-01-14","1128.12","1128.94","1113.19","1116.76","0.00 %","244,485,000.00"
"BANKING","2020-01-15","1118.41","1149.24","1118.41","1143.92","0.00 %","382,533,000.00"
"BANKING","2020-01-16","1145.33","1168.56","1145.33","1163.3","0.00 %","614,117,000.00"
"BANKING","2020-01-19","1163.3","1182.64","1163.3","1181.24","0.00 %","636,986,000.00"
"BANKING","2020-01-20","1179.34","1201.76","1158.9","1165.36","0.00 %","619,801,000.00"
"BANKING","2020-01-21","1166.52","1180.71","1162.32","1170.03","0.00 %","384,523,000.00"
"BANKING","2020-01-22","1175.07","1176.75","1161.4","1161.41","0.00 %","892,202,000.00"
"BANKING","2020-01-23","1162.69","1165.61","1138.43","1140.19","0.00 %","432,924,000.00"
"BANKING","2020-01-26","1141.29","1142.3","1120.98","1121.73","0.00 %","326,338,000.00"
"BANKING","2020-01-27","1121.74","1139.75","1118.73","1139.74","0.00 %","246,998,000.00"
"BANKING","2020-01-28","1139.87","1150.51","1137.6","1138.62","0.00 %","372,122,000.00"
"BANKING","2020-01-29","1139.37","1142.25","1130.45","1130.67","0.00 %","238,882,000.00"
"BANKING","2020-01-30","1131.17","1152.39","1131.16","1148.92","0.00 %","366,099,000.00"
"BANKING","2020-02-02","1149.46","1178.15","1149.46","1175.96","0.00 %","587,905,000.00"
"BANKING","2020-02-03","1177.99","1183.17","1170.89","1172.6","0.00 %","441,261,000.00"
"BANKING","2020-02-04","1177.17","1177.17","1156.59","1158.62","0.00 %","339,622,000.00"
"BANKING","2020-02-05","1161.09","1163.89","1157.64","1162.39","0.00 %","345,625,000.00"
