Date,NEPSE,Banking,Finance,Hotels And Tourism,Hydropower,Investment,LifeInsurance,Manufacture,Microfinance,Mutual Fund,NonLifeInsurance,Others,Trading
2019-12-03,1115.74,,555.38,1749.47,921.64,,5081.98,2241.18,1487.6,9.03,3966.85,639.51,432.99
2019-12-04,1124.47,1024.3,557.38,1753.57,924.68,,5224.89,2243.59,1520.64,9.12,4068.5,645.12,435.58
2019-12-05,1131.92,1026.41,558.96,1770.04,933.41,,5378.1,2228.45,1545.19,9.23,4140.5,649.33,451.95
2019-12-08,1135.37,1026.89,557.17,1778.98,928.77,,5366.45,2220.22,1562.28,9.22,4106.2,668.8,460.92
2019-12-09,1148.89,1034.8,564.17,1792.04,945.57,,5427.43,2249.95,1612.71,9.22,4262.54,668.06,477.55
2019-12-10,1151.36,1041.88,564.63,1820.22,941.06,,5436.57,2241.38,1614.59,9.23,4259.58,656.83,501.31
2019-12-11,1161.47,1046.15,570.87,1843.0,947.25,,5515.86,2211.07,1671.67,9.25,4372.71,661.97,530.87
2019-12-12,1172.64,1048.97,572.27,1839.3,976.22,,5794.55,2166.08,1663.45,9.33,4704.75,660.02,511.86
2019-12-15,1167.86,1051.79,569.96,1796.09,960.05,,5642.63,2152.23,1627.17,9.28,4671.23,662.31,527.79
2019-12-16,1154.11,1044.56,566.3,1789.97,945.53,,5506.1,2135.32,1613.13,9.25,4499.14,647.99,524.09
2019-12-17,1155.37,1042.98,566.04,1777.23,945.83,,5552.68,2130.57,1623.01,9.27,4537.89,650.28,539.93
2019-12-18,1152.07,1041.24,564.74,1734.16,938.43,,5530.31,2118.8,1614.83,9.26,4500.16,650.96,560.12
2019-12-19,1149.64,1039.3,569.84,1749.35,940.11,,5488.31,2158.66,1609.76,9.31,4463.94,645.95,565.88
2019-12-22,1150.81,1038.38,566.78,1793.96,938.51,,5444.54,2228.97,1611.21,9.36,4439.74,651.76,555.42
2019-12-23,1168.58,1041.7,578.32,1840.95,946.27,,5615.42,2342.87,1641.95,9.28,4598.54,683.4,570.99
2019-12-24,1166.21,1042.55,578.33,1805.94,945.9,,5575.08,2332.68,1631.04,9.28,4538.99,683.78,572.58
2019-12-25,1168.03,1042.97,577.33,1812.06,943.17,,5644.78,2352.58,1625.06,9.29,4555.22,685.88,570.33
2019-12-26,1167.41,1043.66,576.08,1802.18,936.7,,5661.34,2328.32,1624.33,9.26,4530.55,685.63,606.05
2019-12-29,1162.43,1035.01,578.06,1786.55,930.79,,5742.05,2317.23,1615.51,9.09,4520.07,687.12,653.93
2019-12-30,1167.95,1032.8,575.7,1793.5,925.63,,5998.58,2377.12,1619.26,9.22,4581.97,693.65,669.09
2019-12-31,1166.03,1034.84,571.5,1825.66,932.09,,5993.78,2365.23,1638.23,9.2,4568.22,665.46,682.88
2020-01-01,1169.5,1038.22,570.6,1993.98,932.29,,5911.42,2371.11,1663.92,9.3,4540.4,663.68,686.72
2020-01-02,1166.21,1036.01,569.47,1920.99,934.53,,5862.58,2412.33,1679.48,9.28,4524.18,651.71,682.77
2020-01-05,1182.31,1052.75,573.33,1931.63,943.21,,5946.26,2414.72,1719.72,9.3,4583.47,654.47,689.11
2020-01-06,1200.69,1078.62,574.82,1934.6,943.35,,5958.39,2419.17,1756.05,9.45,4584.26,658.03,676.85
2020-01-07,1216.92,1097.64,579.84,1926.23,960.9,,5959.44,2396.51,1788.95,9.46,4670.82,659.54,677.87
2020-01-08,1209.6,1086.43,585.44,1908.53,955.69,,5948.33,2410.27,1803.41,9.55,4608.89,659.88,670.29
2020-01-09,1213.11,1085.01,585.1,1902.14,954.64,,5967.44,2399.76,1866.41,9.48,4704.29,657.32,674.54
2020-01-12,1255.72,1112.31,599.02,1977.98,985.71,,6376.71,2434.3,1988.61,9.72,5088.5,675.25,686.13
2020-01-13,1270.86,1127.12,609.9,1990.57,1034.41,,6428.78,2432.24,1974.72,9.75,5127.51,682.24,711.25
2020-01-14,1263.38,1116.76,618.33,1995.97,1023.06,,6377.12,2428.56,1966.0,9.68,5078.72,687.44,776.32
2020-01-15,1284.23,1143.92,638.46,1992.44,1027.34,,6458.18,2412.5,1993.2,9.74,5102.35,686.6,839.79
2020-01-16,1310.23,1163.3,665.01,2066.99,1035.32,,6700.76,2509.81,2069.38,10.05,5228.06,687.4,868.38
2020-01-19,1343.65,1181.24,700.17,2115.98,1080.77,,7104.01,2569.75,2101.44,10.6,5565.08,697.26,860.4
2020-01-20,1317.11,1165.36,677.84,2051.89,1038.56,,6949.35,2497.84,2043.56,10.42,5448.77,683.73,805.81
2020-01-21,1320.47,1170.03,674.36,2054.21,1037.79,,7010.82,2517.05,2041.17,10.27,5529.94,676.29,814.02
2020-01-22,1313.42,1161.41,672.42,2030.53,1021.86,,7173.56,2493.48,2030.81,10.21,5506.89,670.34,802.89
2020-01-23,1297.47,1140.19,665.17,1997.98,1006.35,,7214.45,2480.94,2015.82,10.19,5440.27,672.06,791.23
2020-01-26,1276.68,1121.73,654.5,1958.18,987.39,,7089.45,2454.89,1989.01,10.13,5288.53,665.34,774.51
2020-01-27,1300.62,1139.74,657.36,2041.5,1006.9,,7263.49,2464.75,2055.44,10.16,5438.29,670.49,809.09
2020-01-28,1306.15,1138.62,657.93,2002.08,998.7,,7422.77,2469.18,2098.01,10.26,5579.62,674.53,785.54
2020-01-29,1305.88,1130.67,655.72,2018.24,991.57,,7389.9,2456.73,2188.96,10.12,5676.81,672.54,801.84
2020-01-30,1325.38,1148.92,662.08,2042.32,1001.23,,7558.53,2466.15,2207.57,10.15,5901.45,674.46,786.53
2020-02-02,1346.64,1175.96,666.26,2050.98,1004.32,,7557.44,2513.93,2229.7,10.23,6002.96,677.62,785.91
2020-02-03,1349.13,1172.6,665.47,2033.96,1052.76,,7514.64,2510.8,2221.95,10.29,6062.24,678.06,783.53
2020-02-04,1337.04,1158.62,666.1,1959.73,1036.28,,7438.02,2499.25,2199.07,10.15,6091.02,678.95,775.81
2020-02-05,1342.36,1162.39,671.5,2012.73,1030.15,,7476.28,2488.19,2205.09,10.01,6117.5,690.08,803.86
2020-02-06,1333.69,1153.81,670.78,1987.1,1021.32,,7500.16,2489.86,2187.63,9.99,6029.03,686.87,802.66
2020-02-09,1319.99,1141.42,665.26,1932.77,1012.99,,7424.3,2507.33,2166.94,9.93,5897.52,682.82,797.03
2020-02-10,1324.26,1142.21,664.4,1943.55,1007.78,,7422.81,2532.84,2196.73,9.93,5969.93,688.17,805.44
2020-02-11,1341.38,1156.69,667.31,1945.12,1017.67,,7476.07,2553.1,2266.95,10.09,6063.4,694.56,794.77
2020-02-12,1345.97,1153.71,671.13,1948.98,1010.68,,7534.46,2577.52,2322.58,10.12,6144.37,704.75,808.22
