,Symbol,Date,Close
0,MUTUAL,2019-12-03,9.03
1,MUTUAL,2019-12-04,9.12
2,MUTUAL,2019-12-05,9.23
3,MUTUAL,2019-12-08,9.22
4,MUTUAL,2019-12-09,9.22
5,MUTUAL,2019-12-10,9.23
6,MUTUAL,2019-12-11,9.25
7,MUTUAL,2019-12-12,9.33
8,MUTUAL,2019-12-15,9.28
9,MUTUAL,2019-12-16,9.25
10,MUTUAL,2019-12-17,9.27
11,MUTUAL,2019-12-18,9.26
12,MUTUAL,2019-12-19,9.31
13,MUTUAL,2019-12-22,9.36
14,MUTUAL,2019-12-23,9.28
15,MUTUAL,2019-12-24,9.28
16,MUTUAL,2019-12-25,9.29
17,MUTUAL,2019-12-26,9.26
18,MUTUAL,2019-12-29,9.09
19,MUTUAL,2019-12-30,9.22
20,MUTUAL,2019-12-31,9.2
21,MUTUAL,2020-01-01,9.3
22,MUTUAL,2020-01-02,9.28
23,MUTUAL,2020-01-05,9.3
24,MUTUAL,2020-01-06,9.45
25,MUTUAL,2020-01-07,9.46
26,MUTUAL,2020-01-08,9.55
27,MUTUAL,2020-01-09,9.48
28,MUTUAL,2020-01-12,9.72
29,MUTUAL,2020-01-13,9.75
30,MUTUAL,2020-01-14,9.68
31,MUTUAL,2020-01-15,9.74
32,MUTUAL,2020-01-16,10.05
33,MUTUAL,2020-01-19,10.6
34,MUTUAL,2020-01-20,10.42
35,MUTUAL,2020-01-21,10.27
36,MUTUAL,2020-01-22,10.21
37,MUTUAL,2020-01-23,10.19
38,MUTUAL,2020-01-26,10.13
39,MUTUAL,2020-01-27,10.16
40,MUTUAL,2020-01-28,10.26
41,MUTUAL,2020-01-29,10.12
42,MUTUAL,2020-01-30,10.15
43,MUTUAL,2020-02-02,10.23
44,MUTUAL,2020-02-03,10.29
45,MUTUAL,2020-02-04,10.15
46,MUTUAL,2020-02-05,10.01
47,MUTUAL,2020-02-06,9.99
48,MUTUAL,2020-02-09,9.93
49,MUTUAL,2020-02-10,9.93
50,MUTUAL,2020-02-11,10.09
51,MUTUAL,2020-02-12,10.12
52,MUTUAL,2020-02-13,10.07
53,MUTUAL,2020-02-16,10.01
54,MUTUAL,2020-02-17,10.11
55,MUTUAL,2020-02-18,10.3
56,MUTUAL,2020-02-19,10.3
57,MUTUAL,2020-02-20,10.26
58,MUTUAL,2020-02-23,10.54
59,MUTUAL,2020-02-24,10.5
60,MUTUAL,2020-02-25,10.59
61,MUTUAL,2020-02-26,10.93
62,MUTUAL,2020-02-27,10.76
63,MUTUAL,2020-03-01,10.56
64,MUTUAL,2020-03-02,10.38
65,MUTUAL,2020-03-03,10.64
66,MUTUAL,2020-03-04,10.52
67,MUTUAL,2020-03-05,10.39
68,MUTUAL,2020-03-10,10.35
69,MUTUAL,2020-03-11,10.28
70,MUTUAL,2020-03-12,10.09
71,MUTUAL,2020-03-15,9.78
72,MUTUAL,2020-03-16,9.67
73,MUTUAL,2020-03-17,9.71
74,MUTUAL,2020-03-18,9.68
75,MUTUAL,2020-03-19,9.69
76,MUTUAL,2020-05-12,9.68
77,MUTUAL,2020-06-29,9.63
78,MUTUAL,2020-06-30,9.59
79,MUTUAL,2020-07-01,9.6
80,MUTUAL,2020-07-02,9.61
81,MUTUAL,2020-07-05,9.44
82,MUTUAL,2020-07-06,9.37
83,MUTUAL,2020-07-07,9.54
84,MUTUAL,2020-07-08,9.64
85,MUTUAL,2020-07-09,9.92
86,MUTUAL,2020-07-12,9.91
87,MUTUAL,2020-07-13,10.11
88,MUTUAL,2020-07-14,10.24
89,MUTUAL,2020-07-15,10.45
90,MUTUAL,2020-07-16,10.48
91,MUTUAL,2020-07-19,10.47
92,MUTUAL,2020-07-20,10.49
93,MUTUAL,2020-07-21,10.55
94,MUTUAL,2020-07-22,10.62
95,MUTUAL,2020-07-23,10.59
96,MUTUAL,2020-07-26,10.57
97,MUTUAL,2020-07-27,10.56
98,MUTUAL,2020-07-28,10.7
99,MUTUAL,2020-07-29,10.54
100,MUTUAL,2020-07-30,10.61
101,MUTUAL,2020-08-02,10.54
102,MUTUAL,2020-08-03,10.48
103,MUTUAL,2020-08-06,10.4
104,MUTUAL,2020-08-09,10.61
105,MUTUAL,2020-08-10,10.58
106,MUTUAL,2020-08-11,10.6
107,MUTUAL,2020-08-12,10.7
108,MUTUAL,2020-08-13,10.68
109,MUTUAL,2020-08-16,10.62
110,MUTUAL,2020-08-17,10.63
111,MUTUAL,2020-08-18,10.59
112,MUTUAL,2020-08-19,10.59
113,MUTUAL,2020-08-20,10.58
114,MUTUAL,2020-08-23,10.55
115,MUTUAL,2020-08-24,10.58
116,MUTUAL,2020-08-25,10.57
