,Symbol,Date,Close
0,OTHERS,2019-12-03,639.51
1,OTHERS,2019-12-04,645.12
2,OTHERS,2019-12-05,649.33
3,OTHERS,2019-12-08,668.8
4,OTHERS,2019-12-09,668.06
5,OTHERS,2019-12-10,656.83
6,OTHERS,2019-12-11,661.97
7,OTHERS,2019-12-12,660.02
8,OTHERS,2019-12-15,662.31
9,OTHERS,2019-12-16,647.99
10,OTHERS,2019-12-17,650.28
11,OTHERS,2019-12-18,650.96
12,OTHERS,2019-12-19,645.95
13,OTHERS,2019-12-22,651.76
14,OTHERS,2019-12-23,683.4
15,OTHERS,2019-12-24,683.78
16,OTHERS,2019-12-25,685.88
17,OTHERS,2019-12-26,685.63
18,OTHERS,2019-12-29,687.12
19,OTHERS,2019-12-30,693.65
20,OTHERS,2019-12-31,665.46
21,OTHERS,2020-01-01,663.68
22,OTHERS,2020-01-02,651.71
23,OTHERS,2020-01-05,654.47
24,OTHERS,2020-01-06,658.03
25,OTHERS,2020-01-07,659.54
26,OTHERS,2020-01-08,659.88
27,OTHERS,2020-01-09,657.32
28,OTHERS,2020-01-12,675.25
29,OTHERS,2020-01-13,682.24
30,OTHERS,2020-01-14,687.44
31,OTHERS,2020-01-15,686.6
32,OTHERS,2020-01-16,687.4
33,OTHERS,2020-01-19,697.26
34,OTHERS,2020-01-20,683.73
35,OTHERS,2020-01-21,676.29
36,OTHERS,2020-01-22,670.34
37,OTHERS,2020-01-23,672.06
38,OTHERS,2020-01-26,665.34
39,OTHERS,2020-01-27,670.49
40,OTHERS,2020-01-28,674.53
41,OTHERS,2020-01-29,672.54
42,OTHERS,2020-01-30,674.46
43,OTHERS,2020-02-02,677.62
44,OTHERS,2020-02-03,678.06
45,OTHERS,2020-02-04,678.95
46,OTHERS,2020-02-05,690.08
47,OTHERS,2020-02-06,686.87
48,OTHERS,2020-02-09,682.82
49,OTHERS,2020-02-10,688.17
50,OTHERS,2020-02-11,694.56
51,OTHERS,2020-02-12,704.75
52,OTHERS,2020-02-13,704.99
53,OTHERS,2020-02-16,702.3
54,OTHERS,2020-02-17,708.51
55,OTHERS,2020-02-18,706.17
56,OTHERS,2020-02-19,710.72
57,OTHERS,2020-02-20,719.76
58,OTHERS,2020-02-23,744.38
59,OTHERS,2020-02-24,753.42
60,OTHERS,2020-02-25,800.46
61,OTHERS,2020-02-26,821.95
62,OTHERS,2020-02-27,799.42
63,OTHERS,2020-03-01,783.19
64,OTHERS,2020-03-02,752.4
65,OTHERS,2020-03-03,752.25
66,OTHERS,2020-03-04,723.76
67,OTHERS,2020-03-05,725.76
68,OTHERS,2020-03-10,696.38
69,OTHERS,2020-03-11,716.16
70,OTHERS,2020-03-12,700.94
71,OTHERS,2020-03-15,682.71
72,OTHERS,2020-03-16,686.34
73,OTHERS,2020-03-17,671.55
74,OTHERS,2020-03-18,667.01
75,OTHERS,2020-03-19,672.66
76,OTHERS,2020-03-22,679.93
77,OTHERS,2020-05-12,660.52
78,OTHERS,2020-05-13,641.76
79,OTHERS,2020-06-29,661.82
80,OTHERS,2020-06-30,685.79
81,OTHERS,2020-07-01,706.73
82,OTHERS,2020-07-02,675.34
83,OTHERS,2020-07-05,695.17
84,OTHERS,2020-07-06,724.79
85,OTHERS,2020-07-07,751.84
86,OTHERS,2020-07-08,749.05
87,OTHERS,2020-07-09,755.91
88,OTHERS,2020-07-12,763.69
89,OTHERS,2020-07-13,759.79
90,OTHERS,2020-07-14,757.79
91,OTHERS,2020-07-15,768.53
92,OTHERS,2020-07-16,775.31
93,OTHERS,2020-07-19,824.65
94,OTHERS,2020-07-20,802.55
95,OTHERS,2020-07-21,798.75
96,OTHERS,2020-07-22,784.42
97,OTHERS,2020-07-23,789.18
98,OTHERS,2020-07-26,802.98
99,OTHERS,2020-07-27,808.69
100,OTHERS,2020-07-28,807.72
101,OTHERS,2020-07-29,805.84
102,OTHERS,2020-07-30,810.54
103,OTHERS,2020-08-02,789.28
104,OTHERS,2020-08-03,802.1
105,OTHERS,2020-08-05,797.94
106,OTHERS,2020-08-06,794.89
