,Symbol,Date,Close
0,TRADING,2019-12-03,432.99
1,TRADING,2019-12-04,435.58
2,TRADING,2019-12-05,451.95
3,TRADING,2019-12-08,460.92
4,TRADING,2019-12-09,477.55
5,TRADING,2019-12-10,501.31
6,TRADING,2019-12-11,530.87
7,TRADING,2019-12-12,511.86
8,TRADING,2019-12-15,527.79
9,TRADING,2019-12-16,524.09
10,TRADING,2019-12-17,539.93
11,TRADING,2019-12-18,560.12
12,TRADING,2019-12-19,565.88
13,TRADING,2019-12-22,555.42
14,TRADING,2019-12-23,570.99
15,TRADING,2019-12-24,572.58
16,TRADING,2019-12-25,570.33
17,TRADING,2019-12-26,606.05
18,TRADING,2019-12-29,653.93
19,TRADING,2019-12-30,669.09
20,TRADING,2019-12-31,682.88
21,TRADING,2020-01-01,686.72
22,TRADING,2020-01-02,682.77
23,TRADING,2020-01-05,689.11
24,TRADING,2020-01-06,676.85
25,TRADING,2020-01-07,677.87
26,TRADING,2020-01-08,670.29
27,TRADING,2020-01-09,674.54
28,TRADING,2020-01-12,686.13
29,TRADING,2020-01-13,711.25
30,TRADING,2020-01-14,776.32
31,TRADING,2020-01-15,839.79
32,TRADING,2020-01-16,868.38
33,TRADING,2020-01-19,860.4
34,TRADING,2020-01-20,805.81
35,TRADING,2020-01-21,814.02
36,TRADING,2020-01-22,802.89
37,TRADING,2020-01-23,791.23
38,TRADING,2020-01-26,774.51
39,TRADING,2020-01-27,809.09
40,TRADING,2020-01-28,785.54
41,TRADING,2020-01-29,801.84
42,TRADING,2020-01-30,786.53
43,TRADING,2020-02-02,785.91
44,TRADING,2020-02-03,783.53
45,TRADING,2020-02-04,775.81
46,TRADING,2020-02-05,803.86
47,TRADING,2020-02-06,802.66
48,TRADING,2020-02-09,797.03
49,TRADING,2020-02-10,805.44
50,TRADING,2020-02-11,794.77
51,TRADING,2020-02-12,808.22
52,TRADING,2020-02-13,832.11
53,TRADING,2020-02-16,843.13
54,TRADING,2020-02-17,885.1
55,TRADING,2020-02-18,888.05
56,TRADING,2020-02-19,896.34
57,TRADING,2020-02-20,886.49
58,TRADING,2020-02-23,959.59
59,TRADING,2020-02-24,944.18
60,TRADING,2020-02-25,991.27
61,TRADING,2020-02-26,992.22
62,TRADING,2020-02-27,943.79
63,TRADING,2020-03-01,920.87
64,TRADING,2020-03-02,896.11
65,TRADING,2020-03-03,876.66
66,TRADING,2020-03-04,873.69
67,TRADING,2020-03-05,855.97
68,TRADING,2020-03-10,788.66
69,TRADING,2020-03-11,854.14
70,TRADING,2020-03-12,842.05
71,TRADING,2020-03-15,798.26
72,TRADING,2020-03-16,800.74
73,TRADING,2020-03-17,751.27
74,TRADING,2020-03-18,775.64
75,TRADING,2020-03-19,774.28
76,TRADING,2020-03-22,763.72
77,TRADING,2020-05-13,751.05
78,TRADING,2020-06-29,790.39
79,TRADING,2020-06-30,856.12
80,TRADING,2020-07-01,889.6
81,TRADING,2020-07-05,814.37
82,TRADING,2020-07-06,828.85
83,TRADING,2020-07-07,863.46
84,TRADING,2020-07-08,878.77
85,TRADING,2020-07-09,860.23
86,TRADING,2020-07-12,861.28
87,TRADING,2020-07-13,877.71
88,TRADING,2020-07-14,863.14
89,TRADING,2020-07-15,876.05
90,TRADING,2020-07-16,889.96
91,TRADING,2020-07-20,852.11
92,TRADING,2020-07-21,873.95
93,TRADING,2020-07-22,866.01
94,TRADING,2020-07-23,873.95
95,TRADING,2020-07-26,882.46
96,TRADING,2020-07-27,875.39
97,TRADING,2020-07-28,858.07
98,TRADING,2020-07-29,846.83
99,TRADING,2020-07-30,850.52
100,TRADING,2020-08-02,833.82
101,TRADING,2020-08-03,843.26
102,TRADING,2020-08-06,832.04
103,TRADING,2020-08-09,843.92
104,TRADING,2020-08-10,854.06
105,TRADING,2020-08-11,834.79
106,TRADING,2020-08-12,829.86
107,TRADING,2020-08-13,830.39
108,TRADING,2020-08-16,841.34
109,TRADING,2020-08-17,848.46
110,TRADING,2020-08-18,859.02
111,TRADING,2020-08-19,846.74
112,TRADING,2020-08-20,866.86
113,TRADING,2020-08-23,864.3
114,TRADING,2020-08-24,878.03
115,TRADING,2020-08-25,874.96
116,TRADING,2020-08-26,873.84
117,TRADING,2020-08-27,859.54
118,TRADING,2020-08-30,877.6
119,TRADING,2020-08-31,895.66
120,TRADING,2020-09-02,911.5
121,TRADING,2020-09-03,901.78
122,TRADING,2020-09-06,924.41
123,TRADING,2020-09-07,947.37
124,TRADING,2020-09-08,1028.67
125,TRADING,2020-09-09,1063.57
126,TRADING,2020-09-10,1033.36
127,TRADING,2020-09-13,1004.15
128,TRADING,2020-09-14,1003.09
129,TRADING,2020-09-15,989.34
130,TRADING,2020-09-16,1010.27
131,TRADING,2020-09-17,1016.83
132,TRADING,2020-09-21,1005.84
133,TRADING,2020-09-22,1003.7
134,TRADING,2020-09-23,1018.66
135,TRADING,2020-09-24,1089.51
136,TRADING,2020-09-27,1087.57
137,TRADING,2020-09-28,1072.88
138,TRADING,2020-09-29,1048.88
139,TRADING,2020-09-30,1037.79
140,TRADING,2020-10-01,1057.33
141,TRADING,2020-10-04,1073.1
142,TRADING,2020-10-05,1055.92
143,TRADING,2020-10-06,1064.07
144,TRADING,2020-10-07,1070.97
145,TRADING,2020-10-08,1068.6
146,TRADING,2020-10-11,1048.91
147,TRADING,2020-10-12,1051.08
148,TRADING,2020-10-13,1052.57
149,TRADING,2020-10-14,1048.84
150,TRADING,2020-10-15,1052.03
