"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"DEVBANK","2021-02-28","2639.4","2639.77","2561.53","2563.9","0.00 %","1,000,400,000.00"
"DEVBANK","2021-03-01","2573.37","2610.11","2530.91","2601.15","0.00 %","785,727,000.00"
"DEVBANK","2021-03-02","2601.15","2615.88","2527.1","2540.5","0.00 %","879,503,000.00"
"DEVBANK","2021-03-03","2523.3","2534.37","2474.81","2507.11","0.00 %","980,262,000.00"
"DEVBANK","2021-03-04","2508.42","2573.88","2518.34","2570.41","0.00 %","995,528,000.00"
"DEVBANK","2021-03-07","2590.62","2604.04","2561.3","2564.85","0.00 %","728,903,000.00"
"DEVBANK","2021-03-09","2568.2","2570.27","2540.36","2542.85","0.00 %","507,599,000.00"
"DEVBANK","2021-03-10","2542.85","2556.31","2530.48","2532.01","0.00 %","468,472,000.00"
"DEVBANK","2021-03-14","2547.81","2551.14","2479.7","2494.17","0.00 %","604,479,000.00"
"DEVBANK","2021-03-15","2508.97","2514.17","2465.02","2483.17","0.00 %","508,933,000.00"
"DEVBANK","2021-03-16","2483.17","2505.85","2466.77","2480.82","0.00 %","450,076,000.00"
"DEVBANK","2021-03-17","2505.49","2507.63","2479.18","2507.63","0.00 %","411,626,000.00"
"DEVBANK","2021-03-18","2513.94","2539.42","2509.81","2532","0.00 %","638,185,000.00"
"DEVBANK","2021-03-21","2544.95","2584.99","2542.2","2578.87","0.00 %","1,224,490,000.00"
"DEVBANK","2021-03-22","2611.26","2632.4","2553.99","2557.93","0.00 %","1,234,970,000.00"
"DEVBANK","2021-03-23","2557.93","2561.18","2539.25","2551.88","0.00 %","860,287,000.00"
"DEVBANK","2021-03-24","2556.74","2575.54","2556.37","2573.16","0.00 %","1,267,300,000.00"
"DEVBANK","2021-03-25","2573.16","2599.48","2549.08","2553.24","0.00 %","1,140,890,000.00"
"DEVBANK","2021-03-29","2558.47","2572.96","2545.24","2552.75","0.00 %","755,736,000.00"
"DEVBANK","2021-03-30","2570.77","2574.44","2549.88","2560.55","0.00 %","1,515,560,000.00"
"DEVBANK","2021-03-31","2569.05","2603.47","2567.82","2603.47","0.00 %","1,298,540,000.00"
"DEVBANK","2021-04-01","2604.51","2677.61","2604.51","2656.35","0.00 %","1,244,710,000.00"
"DEVBANK","2021-04-04","2673.12","2691.12","2665.26","2677.84","0.00 %","1,298,220,000.00"
"DEVBANK","2021-04-05","2685.31","2708.97","2658.43","2664.42","0.00 %","974,505,000.00"
"DEVBANK","2021-04-06","2671.78","2694.39","2651.82","2694.39","0.00 %","927,938,000.00"
"DEVBANK","2021-04-07","2701.45","2749.99","2698.35","2734.92","0.00 %","1,717,210,000.00"
"DEVBANK","2021-04-08","2747.71","2766.34","2733.67","2755.54","0.00 %","1,439,900,000.00"
"DEVBANK","2021-04-12","2775.31","2795.43","2769.01","2794.9","0.00 %","2,281,180,000.00"
"DEVBANK","2021-04-13","2813.89","2890.32","2809.03","2890.32","0.00 %","1,829,330,000.00"
"DEVBANK","2021-04-15","2938.48","2999.54","2937.33","2980.51","0.00 %","1,638,900,000.00"
"DEVBANK","2021-04-18","3005.37","3018.24","2926.6","2932.94","0.00 %","1,769,100,000.00"
"DEVBANK","2021-04-19","2943.74","2950","2859.93","2876.14","0.00 %","1,256,290,000.00"
"DEVBANK","2021-04-20","2894.24","2937.84","2868.02","2926.28","0.00 %","1,230,110,000.00"
"DEVBANK","2021-04-21","2955.35","2955.35","2850.7","2864.95","0.00 %","1,124,870,000.00"
"DEVBANK","2021-04-22","2897.34","2908.54","2848.84","2903.12","0.00 %","1,049,920,000.00"
"DEVBANK","2021-04-25","2933.06","2933.06","2806.77","2816.78","0.00 %","1,269,240,000.00"
"DEVBANK","2021-04-26","2816.78","2816.78","2723.21","2728.68","0.00 %","1,277,710,000.00"
"DEVBANK","2021-04-27","2728.68","2822.45","2727.83","2822.45","0.00 %","1,073,640,000.00"
"DEVBANK","2021-04-28","2824.33","2854.53","2788.55","2798.34","0.00 %","750,032,000.00"
"DEVBANK","2021-04-29","2798.34","2826.54","2784.56","2825.64","0.00 %","667,283,000.00"
