"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"FINANCE","2019-12-03","556.63","557.41","555.38","555.38","0.00 %","26,102,700.00"
"FINANCE","2019-12-04","555.38","557.59","555.38","557.38","0.00 %","26,455,200.00"
"FINANCE","2019-12-05","557.38","560.42","557.38","558.96","0.00 %","30,703,000.00"
"FINANCE","2019-12-08","558.96","559.19","556.92","557.17","0.00 %","23,125,100.00"
"FINANCE","2019-12-09","557.17","564.17","557.17","564.17","0.00 %","37,155,200.00"
"FINANCE","2019-12-10","564.17","567.57","564.17","564.63","0.00 %","55,396,600.00"
"FINANCE","2019-12-11","564.63","570.87","564.38","570.87","0.00 %","48,259,600.00"
"FINANCE","2019-12-12","570.87","573.29","569.86","572.27","0.00 %","59,988,700.00"
"FINANCE","2019-12-15","572.27","574.01","569.96","569.96","0.00 %","83,480,000.00"
"FINANCE","2019-12-16","569.96","572.38","565.49","566.3","0.00 %","59,389,200.00"
"FINANCE","2019-12-17","566.3","566.52","563.96","566.04","0.00 %","47,502,900.00"
"FINANCE","2019-12-18","566.04","567.81","564.59","564.74","0.00 %","59,339,800.00"
"FINANCE","2019-12-19","564.74","569.84","564.74","569.84","0.00 %","136,274,000.00"
"FINANCE","2019-12-22","569.84","570.57","566.16","566.78","0.00 %","51,517,400.00"
"FINANCE","2019-12-23","566.54","579.12","566.13","578.32","0.00 %","81,035,000.00"
"FINANCE","2019-12-24","579.76","582.3","576.21","578.33","0.00 %","118,388,000.00"
"FINANCE","2019-12-25","578.33","578.81","575.09","577.33","0.00 %","33,656,400.00"
"FINANCE","2019-12-26","577.33","577.45","574.79","576.08","0.00 %","45,941,200.00"
"FINANCE","2019-12-29","575.29","578.06","573.96","578.06","0.00 %","37,615,600.00"
"FINANCE","2019-12-30","578.55","579.35","574.92","575.7","0.00 %","54,577,100.00"
"FINANCE","2019-12-31","575.78","575.78","568.83","571.5","0.00 %","37,261,200.00"
"FINANCE","2020-01-01","571.84","573.71","568.95","570.6","0.00 %","18,415,100.00"
"FINANCE","2020-01-02","568.15","569.47","566.29","569.47","0.00 %","30,460,700.00"
"FINANCE","2020-01-05","569.38","577.75","568.65","573.33","0.00 %","58,521,000.00"
"FINANCE","2020-01-06","573.33","576.81","572.34","574.82","0.00 %","74,341,900.00"
"FINANCE","2020-01-07","574.58","579.84","574.08","579.84","0.00 %","83,081,200.00"
"FINANCE","2020-01-08","581.17","585.61","578.36","585.44","0.00 %","64,491,600.00"
"FINANCE","2020-01-09","585.44","585.94","580.79","585.1","0.00 %","37,528,700.00"
"FINANCE","2020-01-12","585.95","599.02","585.41","599.02","0.00 %","83,917,500.00"
"FINANCE","2020-01-13","599.02","614.52","599.02","609.9","0.00 %","132,093,000.00"
"FINANCE","2020-01-14","611.23","618.33","606.94","618.33","0.00 %","135,299,000.00"
"FINANCE","2020-01-15","618.08","637.19","618.08","638.46","0.00 %","112,782,000.00"
"FINANCE","2020-01-16","638.71","665.9","638.71","665.01","0.00 %","149,217,000.00"
"FINANCE","2020-01-19","669.77","700.17","669.77","700.17","0.00 %","222,545,000.00"
"FINANCE","2020-01-20","700.68","705.76","671.7","677.84","0.00 %","196,859,000.00"
"FINANCE","2020-01-21","677.84","685.5","671.07","674.36","0.00 %","79,013,300.00"
"FINANCE","2020-01-22","674.36","677.68","670.81","672.42","0.00 %","86,694,800.00"
"FINANCE","2020-01-23","671.42","675.52","663.29","665.17","0.00 %","64,812,000.00"
"FINANCE","2020-01-26","665.25","665.25","654.5","654.5","0.00 %","63,924,800.00"
"FINANCE","2020-01-27","654.58","659.32","652.62","657.36","0.00 %","44,970,000.00"
"FINANCE","2020-01-28","657.64","665.16","656.89","657.93","0.00 %","118,632,000.00"
"FINANCE","2020-01-29","658.22","659.06","655.47","655.72","0.00 %","75,952,100.00"
"FINANCE","2020-01-30","655.72","665.83","655.47","662.08","0.00 %","117,206,000.00"
"FINANCE","2020-02-02","663","669.87","665.36","666.26","0.00 %","156,030,000.00"
"FINANCE","2020-02-03","666.26","666.79","661.49","665.47","0.00 %","107,128,000.00"
"FINANCE","2020-02-04","665.76","675.86","663.39","666.1","0.00 %","92,668,400.00"
"FINANCE","2020-02-05","666.1","671.5","664.1","671.5","0.00 %","107,972,000.00"
"FINANCE","2020-02-06","671.5","672.68","668.19","670.78","0.00 %","87,273,500.00"
"FINANCE","2020-02-09","670.78","674.4","662.15","665.26","0.00 %","83,051,900.00"
"FINANCE","2020-02-10","665.26","666.03","663.23","664.4","0.00 %","87,956,200.00"
"FINANCE","2020-02-11","664.4","669.58","663.38","667.31","0.00 %","111,257,000.00"
"FINANCE","2020-02-12","670.05","674.01","669.54","671.13","0.00 %","183,980,000.00"
"FINANCE","2020-02-13","671.61","674.28","669.41","671.31","0.00 %","116,888,000.00"
"FINANCE","2020-02-16","671.31","671.84","665.83","667.98","0.00 %","94,818,700.00"
"FINANCE","2020-02-17","667.48","678.97","666.76","677.77","0.00 %","175,507,000.00"
"FINANCE","2020-02-18","679.58","684.59","667.82","671.92","0.00 %","177,741,000.00"
"FINANCE","2020-02-19","671.92","673.68","668.12","668.65","0.00 %","89,502,000.00"
"FINANCE","2020-02-20","668.65","676.16","668.5","675.07","0.00 %","157,767,000.00"
"FINANCE","2020-02-23","675.07","697.63","674.07","697.63","0.00 %","355,945,000.00"
"FINANCE","2020-02-24","697.63","713.15","694.16","695.23","0.00 %","387,189,000.00"
"FINANCE","2020-02-25","697.23","714.61","693.24","714.65","0.00 %","283,451,000.00"
"FINANCE","2020-02-26","714.65","732.76","714.65","721.18","0.00 %","278,956,000.00"
"FINANCE","2020-02-27","721.18","723.85","710.2","712.66","0.00 %","361,045,000.00"
"FINANCE","2020-03-01","713.94","730.9","713.94","716.91","0.00 %","596,271,000.00"
"FINANCE","2020-03-02","716.91","717.8","700.59","700.59","0.00 %","244,231,000.00"
"FINANCE","2020-03-03","701.09","709.27","700.71","708.37","0.00 %","440,697,000.00"
"FINANCE","2020-03-04","708.37","708.37","690.36","694.28","0.00 %","295,686,000.00"
"FINANCE","2020-03-05","694.76","709.97","689.96","702.09","0.00 %","315,712,000.00"
"FINANCE","2020-03-10","705.83","705.83","681.93","681.93","0.00 %","139,138,000.00"
"FINANCE","2020-03-11","682.4","702.54","674.79","702.54","0.00 %","235,542,000.00"
"FINANCE","2020-03-12","702.54","702.54","686.34","687.17","0.00 %","201,289,000.00"
"FINANCE","2020-03-15","688.9","689.66","662.94","664.97","0.00 %","213,406,000.00"
"FINANCE","2020-03-16","666.21","672.33","659.4","668.65","0.00 %","174,595,000.00"
"FINANCE","2020-03-17","669.9","669.9","646.68","646.68","0.00 %","169,183,000.00"
"FINANCE","2020-03-18","646.68","647.92","632.32","642.83","0.00 %","117,491,000.00"
"FINANCE","2020-03-19","642","642","631.19","636.3","0.00 %","185,327,000.00"
"FINANCE","2020-03-22","635.79","639.54","632.09","636.12","0.00 %","26,069,800.00"
"FINANCE","2020-05-12","635.63","635.63","632.86","632.86","0.00 %","88,934,800.00"
"FINANCE","2020-05-13","632.02","632.02","629.23","629.23","0.00 %","529,364.00"
"FINANCE","2020-06-29","629.23","631.12","620.74","625.14","0.00 %","30,087,000.00"
"FINANCE","2020-06-30","625.14","631.36","624.58","630.11","0.00 %","11,359,200.00"
"FINANCE","2020-07-01","630.11","634.86","630.11","634.86","0.00 %","41,681,500.00"
"FINANCE","2020-07-02","634.86","638.54","634.83","634.83","0.00 %","47,452,600.00"
"FINANCE","2020-07-05","634.83","634.83","628.56","628.56","0.00 %","87,179,200.00"
"FINANCE","2020-07-06","628.06","631.07","625.43","631.07","0.00 %","63,610,500.00"
"FINANCE","2020-07-07","630.82","653.09","630.82","650.11","0.00 %","98,051,700.00"
"FINANCE","2020-07-08","649.86","649.93","642.62","648.33","0.00 %","71,675,500.00"
"FINANCE","2020-07-09","648.33","653.5","644.79","653.16","0.00 %","56,820,800.00"
"FINANCE","2020-07-12","653.16","659.69","649.81","659.69","0.00 %","74,620,000.00"
"FINANCE","2020-07-13","659.69","662.43","654.24","655.72","0.00 %","67,896,100.00"
"FINANCE","2020-07-14","654.02","656.67","650.07","650.97","0.00 %","90,046,000.00"
"FINANCE","2020-07-15","649.27","654.94","648.61","654.7","0.00 %","124,055,000.00"
"FINANCE","2020-07-16","656.2","673.33","652.55","671.53","0.00 %","136,702,000.00"
"FINANCE","2020-07-19","671.53","680.53","671.53","680.53","0.00 %","4,471,720.00"
"FINANCE","2020-07-20","694.11","698.63","680.95","681.68","0.00 %","322,291,000.00"
"FINANCE","2020-07-21","681.68","685.46","673.97","675.49","0.00 %","214,249,000.00"
"FINANCE","2020-07-22","678.73","678.84","665.47","668.33","0.00 %","108,773,000.00"
"FINANCE","2020-07-23","669.88","671.88","664.06","669.81","0.00 %","92,696,100.00"
"FINANCE","2020-07-26","669.81","673.68","667.73","673.15","0.00 %","128,905,000.00"
"FINANCE","2020-07-27","673.15","675.28","669.13","672.2","0.00 %","115,909,000.00"
"FINANCE","2020-07-28","672.2","673.45","665.84","672.44","0.00 %","94,662,400.00"
"FINANCE","2020-07-29","674.28","674.28","667.13","665.91","0.00 %","95,224,400.00"
"FINANCE","2020-07-30","667.15","671.86","662.72","671.86","0.00 %","82,559,700.00"
"FINANCE","2020-08-02","671.86","672.45","656.19","657.07","0.00 %","152,974,000.00"
"FINANCE","2020-08-03","657.6","661.47","655.81","656.76","0.00 %","70,932,900.00"
"FINANCE","2020-08-05","657.34","658.14","646.3","649.59","0.00 %","113,606,000.00"
"FINANCE","2020-08-06","650","655.17","647.84","654.28","0.00 %","63,470,700.00"
"FINANCE","2020-08-09","653.64","661.39","649.84","661.39","0.00 %","68,166,000.00"
"FINANCE","2020-08-10","661.38","669.79","661.38","669.06","0.00 %","141,971,000.00"
"FINANCE","2020-08-11","668.33","672.52","664.16","668.46","0.00 %","101,520,000.00"
"FINANCE","2020-08-12","669.35","669.35","662.17","664.03","0.00 %","43,276,200.00"
"FINANCE","2020-08-13","664.03","665.31","658.48","659.12","0.00 %","77,205,800.00"
"FINANCE","2020-08-16","657.86","657.86","651.05","656.08","0.00 %","89,657,600.00"
"FINANCE","2020-08-17","656.2","656.9","653.48","656.25","0.00 %","78,694,700.00"
"FINANCE","2020-08-18","654.99","658.3","654.23","655.71","0.00 %","206,897,000.00"
"FINANCE","2020-08-19","655.99","656.32","652.43","652.68","0.00 %","128,499,000.00"
"FINANCE","2020-08-20","654.77","656.19","653.55","655.54","0.00 %","44,986,900.00"
"FINANCE","2020-08-23","655.54","661.56","655.54","661.56","0.00 %","65,836,700.00"
"FINANCE","2020-08-24","660.69","665.26","660.06","665.26","0.00 %","111,189,000.00"
"FINANCE","2020-08-25","665.26","669.48","665.09","666.46","0.00 %","89,534,200.00"
"FINANCE","2020-08-26","665.2","669.85","664.79","667.73","0.00 %","164,651,000.00"
"FINANCE","2020-08-27","668.06","672.89","661.77","664.47","0.00 %","121,879,000.00"
"FINANCE","2020-08-30","665.48","666.09","662.44","666.09","0.00 %","57,257,300.00"
"FINANCE","2020-08-31","665.09","670.04","665.09","667.19","0.00 %","168,542,000.00"
"FINANCE","2020-09-02","670.36","676.96","668.75","674.94","0.00 %","163,802,000.00"
"FINANCE","2020-09-03","678.62","679.72","671.35","675.01","0.00 %","95,778,100.00"
"FINANCE","2020-09-06","686.08","686.08","670.04","673.01","0.00 %","185,091,000.00"
"FINANCE","2020-09-07","673.27","675.12","670.92","673.31","0.00 %","226,643,000.00"
"FINANCE","2020-09-08","678.24","680.19","672","677.81","0.00 %","228,409,000.00"
"FINANCE","2020-09-09","679.71","681.38","675.39","679.3","0.00 %","272,360,000.00"
"FINANCE","2020-09-10","678.25","682.66","676.73","681.54","0.00 %","149,819,000.00"
"FINANCE","2020-09-13","683.03","683.03","677.39","678.6","0.00 %","243,107,000.00"
"FINANCE","2020-09-14","680.21","685.54","678.73","685.54","0.00 %","157,905,000.00"
"FINANCE","2020-09-15","692.15","692.15","680.19","683.04","0.00 %","96,835,500.00"
"FINANCE","2020-09-16","682.9","684.9","679.63","684.9","0.00 %","101,641,000.00"
"FINANCE","2020-09-17","687.88","729.22","686.41","726.85","0.00 %","231,007,000.00"
"FINANCE","2020-09-20","739.42","761.96","739.42","755.51","0.00 %","213,748,000.00"
"FINANCE","2020-09-21","770.32","773.67","745.26","746.07","0.00 %","171,821,000.00"
"FINANCE","2020-09-22","749.26","753.88","733.58","733.58","0.00 %","194,675,000.00"
