"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"HOTELS","2019-12-03","1736.98","1762.25","1736.98","1749.47","0.00 %","1,350,510.00"
"HOTELS","2019-12-04","1771.63","1771.63","1736.69","1753.57","0.00 %","2,179,900.00"
"HOTELS","2019-12-05","1753.57","1786.66","1753.57","1770.04","0.00 %","1,920,580.00"
"HOTELS","2019-12-08","1775.58","1790.92","1756.82","1778.98","0.00 %","1,850,700.00"
"HOTELS","2019-12-09","1778.98","1801.68","1778.98","1792.04","0.00 %","4,257,880.00"
"HOTELS","2019-12-10","1808.66","1825.34","1782.39","1820.22","0.00 %","13,410,400.00"
"HOTELS","2019-12-11","1834.47","1857.88","1821.72","1843","0.00 %","1,535,820.00"
"HOTELS","2019-12-12","1840.18","1843.31","1824.73","1839.3","0.00 %","1,603,520.00"
"HOTELS","2019-12-15","1832.47","1835.03","1796.09","1796.09","0.00 %","1,780,980.00"
"HOTELS","2019-12-16","1796.09","1818.02","1789.97","1789.97","0.00 %","1,381,320.00"
"HOTELS","2019-12-17","1783.6","1789.71","1770.14","1777.23","0.00 %","1,727,160.00"
"HOTELS","2019-12-18","1796.34","1796.34","1731.9","1734.16","0.00 %","2,508,860.00"
"HOTELS","2019-12-19","1721.41","1807.81","1718","1749.35","0.00 %","914,491.00"
"HOTELS","2019-12-22","1749.35","1794.13","1749.35","1793.96","0.00 %","1,706,150.00"
"HOTELS","2019-12-23","1793.96","1868.84","1781.22","1840.95","0.00 %","9,577,400.00"
"HOTELS","2019-12-24","1838.69","1848.63","1793.19","1805.94","0.00 %","6,897,920.00"
"HOTELS","2019-12-25","1812.77","1827.27","1802.18","1812.06","0.00 %","338,933.00"
"HOTELS","2019-12-26","1819.74","1828.23","1799.31","1802.18","0.00 %","2,117,370.00"
"HOTELS","2019-12-29","1799.36","1818.48","1775.35","1786.55","0.00 %","1,287,930.00"
"HOTELS","2019-12-30","1784.86","1799.75","1766.41","1793.5","0.00 %","2,154,080.00"
"HOTELS","2019-12-31","1812.62","1862.53","1794.35","1825.66","0.00 %","6,077,700.00"
"HOTELS","2020-01-01","1833.34","1993.98","1827.37","1993.98","0.00 %","68,985,900.00"
"HOTELS","2020-01-02","1999.61","1999.61","1908.66","1920.99","0.00 %","35,147,700.00"
"HOTELS","2020-01-05","1928.67","1975.8","1920.31","1931.63","0.00 %","9,603,300.00"
"HOTELS","2020-01-06","1938.45","1952.05","1911.33","1934.6","0.00 %","4,723,700.00"
"HOTELS","2020-01-07","1953.72","1953.72","1912.78","1926.23","0.00 %","7,795,010.00"
"HOTELS","2020-01-08","1945.35","1948.17","1904.7","1908.53","0.00 %","2,156,110.00"
"HOTELS","2020-01-09","1908.53","1942.41","1901.41","1902.14","0.00 %","6,904,670.00"
"HOTELS","2020-01-12","1895.31","1998.51","1895.31","1977.98","0.00 %","16,770,200.00"
"HOTELS","2020-01-13","1985.66","2041.04","1974.57","1990.57","0.00 %","33,185,900.00"
"HOTELS","2020-01-14","1987.75","2000.5","1959.26","1995.97","0.00 %","11,018,900.00"
"HOTELS","2020-01-15","2021.47","2029.98","1976.98","1992.44","0.00 %","9,898,840.00"
"HOTELS","2020-01-16","2000.97","2112.1","1980.14","2066.99","0.00 %","33,135,600.00"
"HOTELS","2020-01-19","2101.01","2154.02","2087.7","2115.98","0.00 %","39,563,000.00"
"HOTELS","2020-01-20","2112.6","2112.6","2043.12","2051.89","0.00 %","20,806,700.00"
"HOTELS","2020-01-21","2032.77","2096.3","2032.77","2054.21","0.00 %","7,202,220.00"
"HOTELS","2020-01-22","2062.74","2062.74","2021.89","2030.53","0.00 %","3,405,460.00"
"HOTELS","2020-01-23","2039.07","2058.44","1996.82","1997.98","0.00 %","9,840,040.00"
"HOTELS","2020-01-26","1996.85","2023.47","1956.18","1958.18","0.00 %","7,483,440.00"
"HOTELS","2020-01-27","1977.29","2063.61","1973.02","2041.5","0.00 %","6,276,660.00"
"HOTELS","2020-01-28","2044.88","2075.49","2002.08","2002.08","0.00 %","2,741,840.00"
"HOTELS","2020-01-29","2005.46","2030.95","1995.71","2018.24","0.00 %","4,643,020.00"
"HOTELS","2020-01-30","2018.24","2084.97","2005.49","2042.32","0.00 %","11,236,500.00"
"HOTELS","2020-02-02","2071.19","2071.19","2028.03","2050.98","0.00 %","14,063,900.00"
"HOTELS","2020-02-03","2042.44","2052.71","2025.06","2033.96","0.00 %","6,694,830.00"
"HOTELS","2020-02-04","2033.96","2046.71","1959.73","1959.73","0.00 %","12,478,400.00"
"HOTELS","2020-02-05","1972.48","2023.48","1972.48","2012.73","0.00 %","6,789,200.00"
"HOTELS","2020-02-06","2019.67","2045.16","1976.46","1987.1","0.00 %","6,694,600.00"
"HOTELS","2020-02-09","1961.6","1981.29","1931.08","1932.77","0.00 %","11,278,500.00"
"HOTELS","2020-02-10","1925.09","1973.62","1918.72","1943.55","0.00 %","7,667,730.00"
"HOTELS","2020-02-11","1954.05","1976.84","1935.33","1945.12","0.00 %","6,018,670.00"
"HOTELS","2020-02-12","1964.24","1974.48","1938.75","1948.98","0.00 %","2,723,050.00"
"HOTELS","2020-02-13","1951.8","1964.55","1913.48","1917.55","0.00 %","14,640,100.00"
"HOTELS","2020-02-16","1930.3","1954.19","1901.84","1924.5","0.00 %","13,717,300.00"
"HOTELS","2020-02-17","1927.88","1977.5","1913.72","1945.44","0.00 %","23,851,200.00"
"HOTELS","2020-02-18","1926.32","1951.41","1908.89","1912.17","0.00 %","5,697,830.00"
"HOTELS","2020-02-19","1903.72","1928.06","1886.54","1911.9","0.00 %","6,060,920.00"
"HOTELS","2020-02-20","1917.87","2025.13","1900.41","1961.17","0.00 %","27,515,900.00"
"HOTELS","2020-02-23","1966.29","2032.34","1966.29","1972.95","0.00 %","20,386,500.00"
"HOTELS","2020-02-24","1975.76","2010.63","1937.56","1950.3","0.00 %","13,516,800.00"
"HOTELS","2020-02-25","1950.3","1993.11","1942.64","1961.52","0.00 %","38,489,100.00"
"HOTELS","2020-02-26","1969.98","2082.01","1969.98","2035.4","0.00 %","57,902,600.00"
"HOTELS","2020-02-27","2006.62","2051.29","2001.12","2007.78","0.00 %","28,777,100.00"
"HOTELS","2020-03-01","2004.4","2004.4","1943.29","1943.29","0.00 %","20,893,100.00"
"HOTELS","2020-03-02","1927.72","1927.72","1863.94","1863.94","0.00 %","14,675,300.00"
"HOTELS","2020-03-03","1844.82","1914.25","1825.7","1868.6","0.00 %","17,582,500.00"
"HOTELS","2020-03-04","1849.49","1866.91","1788.57","1788.57","0.00 %","14,592,100.00"
"HOTELS","2020-03-05","1750.33","1823.73","1742.09","1762.58","0.00 %","11,148,000.00"
"HOTELS","2020-03-10","1736.64","1736.64","1641.73","1641.73","0.00 %","3,181,960.00"
"HOTELS","2020-03-11","1641.73","1760.82","1641.73","1741.32","0.00 %","9,164,070.00"
"HOTELS","2020-03-12","1751.11","1753.07","1648.65","1648.65","0.00 %","12,944,900.00"
"HOTELS","2020-03-15","1628.4","1631.36","1592.67","1596.17","0.00 %","8,349,420.00"
"HOTELS","2020-03-16","1615.29","1644.39","1588.12","1588.12","0.00 %","7,281,600.00"
"HOTELS","2020-03-17","1584.71","1590.23","1534.43","1534.43","0.00 %","7,096,490.00"
"HOTELS","2020-03-18","1528.06","1543.07","1487.12","1515.27","0.00 %","4,133,720.00"
"HOTELS","2020-03-19","1513.02","1554.41","1464.4","1510.46","0.00 %","5,909,970.00"
