"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"HYDROPOWER","2019-12-03","916.55","923.83","908.97","921.64","0.00 %","18,473,600.00"
"HYDROPOWER","2019-12-04","923.13","932.43","920.7","924.68","0.00 %","18,645,500.00"
"HYDROPOWER","2019-12-05","924.68","933.41","923.77","933.41","0.00 %","14,576,300.00"
"HYDROPOWER","2019-12-08","933.41","933.41","916.38","928.77","0.00 %","10,992,200.00"
"HYDROPOWER","2019-12-09","928.62","956.19","928.56","945.57","0.00 %","35,501,300.00"
"HYDROPOWER","2019-12-10","947.31","951.81","939.62","941.06","0.00 %","26,988,400.00"
"HYDROPOWER","2019-12-11","941.15","950.76","938.01","947.25","0.00 %","17,115,400.00"
"HYDROPOWER","2019-12-12","947.96","1004.18","940.27","976.22","0.00 %","52,134,000.00"
"HYDROPOWER","2019-12-15","976.75","983.16","960.05","960.05","0.00 %","28,763,700.00"
"HYDROPOWER","2019-12-16","959.86","961.37","945.53","945.53","0.00 %","21,598,100.00"
"HYDROPOWER","2019-12-17","944.86","951.85","938.5","945.83","0.00 %","11,431,700.00"
"HYDROPOWER","2019-12-18","946.16","946.78","936.09","938.43","0.00 %","12,585,500.00"
"HYDROPOWER","2019-12-19","938.43","941.98","933.48","940.11","0.00 %","13,733,000.00"
"HYDROPOWER","2019-12-22","941.11","941.11","928.92","938.51","0.00 %","32,588,900.00"
"HYDROPOWER","2019-12-23","939.91","948.49","937.04","946.27","0.00 %","26,408,400.00"
"HYDROPOWER","2019-12-24","948.42","971.17","942.65","945.9","0.00 %","54,511,900.00"
"HYDROPOWER","2019-12-25","944.27","947.51","936.12","943.17","0.00 %","16,240,700.00"
"HYDROPOWER","2019-12-26","943.29","944.69","934.5","936.7","0.00 %","17,669,300.00"
"HYDROPOWER","2019-12-29","937.32","939.72","925.4","930.79","0.00 %","16,423,700.00"
"HYDROPOWER","2019-12-30","931.42","932.42","924.67","925.63","0.00 %","13,141,000.00"
"HYDROPOWER","2019-12-31","926.64","933.61","924.51","932.09","0.00 %","11,582,500.00"
"HYDROPOWER","2020-01-01","932.09","934.3","925.87","932.29","0.00 %","18,270,200.00"
"HYDROPOWER","2020-01-02","935.54","935.71","930.17","934.53","0.00 %","15,425,000.00"
"HYDROPOWER","2020-01-05","932.6","948.54","931.34","943.21","0.00 %","27,263,400.00"
"HYDROPOWER","2020-01-06","944.02","956.77","938.86","943.35","0.00 %","28,489,000.00"
"HYDROPOWER","2020-01-07","942.42","968.47","940.41","960.9","0.00 %","46,770,500.00"
"HYDROPOWER","2020-01-08","958.81","967.68","953.17","955.69","0.00 %","29,175,500.00"
