"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"INVESTMENT","2021-02-28","100","98.96","95.7","95.87","0.00 %","788,182,000.00"
"INVESTMENT","2021-03-01","95.16","98.05","92.65","97.66","0.00 %","543,932,000.00"
"INVESTMENT","2021-03-02","99.02","99.02","94.54","95.74","0.00 %","416,886,000.00"
"INVESTMENT","2021-03-03","95.97","96.14","92.82","93.48","0.00 %","388,350,000.00"
"INVESTMENT","2021-03-04","93.49","98.99","93.78","98.39","0.00 %","655,824,000.00"
"INVESTMENT","2021-03-07","98.5","99.76","96.4","96.64","0.00 %","550,928,000.00"
"INVESTMENT","2021-03-09","97.25","97.25","94.85","95.31","0.00 %","418,678,000.00"
"INVESTMENT","2021-03-10","95.78","96.4","94.79","95.33","0.00 %","362,810,000.00"
"INVESTMENT","2021-03-14","96.02","96.02","92.41","92.78","0.00 %","429,501,000.00"
"INVESTMENT","2021-03-15","94.14","95.21","92.42","93.3","0.00 %","529,269,000.00"
"INVESTMENT","2021-03-16","94.19","94.19","91.98","93.51","0.00 %","343,123,000.00"
"INVESTMENT","2021-03-17","93.63","94.98","93.41","94.77","0.00 %","410,911,000.00"
"INVESTMENT","2021-03-18","95.46","97.17","94.37","96.73","0.00 %","387,563,066.00"
"INVESTMENT","2021-03-21","96.77","98.42","96.76","97.97","0.00 %","363,556,000.00"
"INVESTMENT","2021-03-22","98.42","98.89","96.5","96.57","0.00 %","323,771,000.00"
"INVESTMENT","2021-03-23","95.93","98.37","95.56","97.6","0.00 %","646,698,000.00"
"INVESTMENT","2021-03-24","98.28","102.53","98.28","102.53","0.00 %","1,009,230,000.00"
"INVESTMENT","2021-03-25","103.89","106.54","103.49","103.72","0.00 %","1,105,400,000.00"
"INVESTMENT","2021-03-29","104.21","104.99","103.08","103.66","0.00 %","625,596,000.00"
"INVESTMENT","2021-03-30","103.66","104.48","103.13","104.03","0.00 %","802,538,000.00"
"INVESTMENT","2021-03-31","104.8","105.82","104.42","105.82","0.00 %","724,774,000.00"
"INVESTMENT","2021-04-01","107.58","107.58","104.39","104.73","0.00 %","388,903,000.00"
"INVESTMENT","2021-04-04","104.73","104.73","101.78","102.27","0.00 %","781,743,000.00"
"INVESTMENT","2021-04-05","102.51","102.71","100.96","101.41","0.00 %","479,117,000.00"
"INVESTMENT","2021-04-06","102.88","104.12","100.45","104.12","0.00 %","537,533,000.00"
"INVESTMENT","2021-04-07","104.12","104.69","102.37","102.4","0.00 %","388,926,000.00"
"INVESTMENT","2021-04-08","104.4","104.4","101.66","101.97","0.00 %","433,373,000.00"
"INVESTMENT","2021-04-12","101.81","102.47","101.53","101.64","0.00 %","415,618,000.00"
"INVESTMENT","2021-04-13","101.78","102.1","100.99","101.18","0.00 %","382,799,000.00"
"INVESTMENT","2021-04-15","103.32","103.43","101.45","102.77","0.00 %","699,432,000.00"
"INVESTMENT","2021-04-18","103.29","103.51","102.04","102.32","0.00 %","669,815,000.00"
"INVESTMENT","2021-04-19","103.32","102.26","100.08","101.74","0.00 %","835,909,000.00"
"INVESTMENT","2021-04-20","101.85","102.1","100.1","100.69","0.00 %","561,944,000.00"
"INVESTMENT","2021-04-21","101.33","101.33","99.11","99.26","0.00 %","600,769,000.00"
"INVESTMENT","2021-04-22","101.27","101.88","97.98","99.43","0.00 %","640,007,000.00"
"INVESTMENT","2021-04-25","100.3","100.3","95.73","96.07","0.00 %","728,306,000.00"
"INVESTMENT","2021-04-26","94.84","96.31","93.26","93.32","0.00 %","596,334,000.00"
"INVESTMENT","2021-04-27","92.91","97.66","92.91","97.66","0.00 %","457,430,000.00"
"INVESTMENT","2021-04-28","97.95","98.88","95.36","97.57","0.00 %","353,847,000.00"
"INVESTMENT","2021-04-29","99.45","99.45","96.92","97.45","0.00 %","358,526,000.00"
"INVESTMENT","2021-05-02","97.45","98.26","96.72","98.2","0.00 %","504,778,000.00"
"INVESTMENT","2021-05-03","98.6","100.23","98.39","98.66","0.00 %","622,595,000.00"
"INVESTMENT","2021-05-04","97.74","99.68","97.74","98.88","0.00 %","388,465,000.00"
"INVESTMENT","2021-05-05","99.14","99.28","98.35","98.37","0.00 %","287,685,000.00"
"INVESTMENT","2021-05-06","98.6","99.03","97.81","98.52","0.00 %","729,701,000.00"
"INVESTMENT","2021-05-09","98.82","99.16","97.42","97.66","0.00 %","532,752,000.00"
"INVESTMENT","2021-05-10","97.74","99.23","97.1","98.66","0.00 %","393,978,000.00"
"INVESTMENT","2021-05-11","99.23","100.38","98.6","100.15","0.00 %","509,970,000.00"
"INVESTMENT","2021-05-12","100.22","101.34","100.05","100.91","0.00 %","536,657,000.00"
"INVESTMENT","2021-05-13","101.99","101.99","100.39","100.51","0.00 %","437,457,000.00"
"INVESTMENT","2021-05-16","100.84","103.05","100.63","102.55","0.00 %","833,408,000.00"
"INVESTMENT","2021-05-17","101.88","104.3","101.88","102.8","0.00 %","515,712,000.00"
"INVESTMENT","2021-05-18","103.53","106.37","103.37","105.66","0.00 %","731,182,000.00"
"INVESTMENT","2021-05-19","106.63","106.84","103.33","103.8","0.00 %","554,480,000.00"
"INVESTMENT","2021-05-20","105.32","105.32","102.95","103.06","0.00 %","410,147,000.00"
"INVESTMENT","2021-05-23","101.77","103.95","100.76","103.14","0.00 %","518,231,000.00"
"INVESTMENT","2021-05-24","106.2","106.31","104.3","104.56","0.00 %","1,560,740,000.00"
"INVESTMENT","2021-05-25","107.34","107.34","103.26","103.38","0.00 %","546,796,000.00"
"INVESTMENT","2021-05-27","102.2","103.96","101.94","102.71","0.00 %","561,602,000.00"
"INVESTMENT","2021-05-30","103.51","104.28","102.22","102.43","0.00 %","601,026,000.00"
"INVESTMENT","2021-05-31","102.89","103.66","101.4","101.46","0.00 %","638,904,103.00"
"INVESTMENT","2021-06-01","102.04","102.42","100.3","100.61","0.00 %","413,789,492.00"
"INVESTMENT","2021-06-02","100.68","101.97","100.38","101.52","0.00 %","438,176,000.00"
"INVESTMENT","2021-06-03","102.05","103.1","101.46","101.59","0.00 %","619,933,000.00"
"INVESTMENT","2021-06-06","103.67","105.62","103.67","105.62","0.00 %","1,191,060,000.00"
"INVESTMENT","2021-06-07","106.37","107.35","104.96","105.53","0.00 %","730,271,000.00"
"INVESTMENT","2021-06-08","108.91","108.91","104.44","104.63","0.00 %","573,974,000.00"
"INVESTMENT","2021-06-09","105.05","105.63","103.34","103.61","0.00 %","587,586,000.00"
"INVESTMENT","2021-06-10","106.67","106.67","103.76","104.72","0.00 %","1,352,650,000.00"
"INVESTMENT","2021-06-13","106.02","108.5","106.02","107.21","0.00 %","416,915,000.00"
"INVESTMENT","2021-06-14","108.81","112.15","108.81","110.93","0.00 %","473,830,146.00"
"INVESTMENT","2021-06-15","114.73","116.38","110.11","113.22","0.00 %","917,359,885.00"
"INVESTMENT","2021-06-16","110.92","112.67","108.44","110.33","0.00 %","664,518,192.00"
"INVESTMENT","2021-06-17","111.78","111.78","109.03","110.12","0.00 %","560,132,000.00"
"INVESTMENT","2021-06-20","109.65","110.81","106.69","107.92","0.00 %","487,893,000.00"
"INVESTMENT","2021-06-21","107.92","108.65","104.63","107.4","0.00 %","868,419,000.00"
"INVESTMENT","2021-06-22","109.37","111.93","107.66","111.93","0.00 %","679,017,000.00"
"INVESTMENT","2021-06-23","113.52","114.12","110.72","110.91","0.00 %","519,528,624.00"
"INVESTMENT","2021-06-24","110.91","111.58","109.06","109.18","0.00 %","457,549,152.00"
"INVESTMENT","2021-06-27","109.61","111.29","107.87","109.76","0.00 %","497,731,661.00"
"INVESTMENT","2021-06-28","111.52","112.11","108.28","112.11","0.00 %","420,972,852.00"
"INVESTMENT","2021-06-29","112.11","112.11","107.96","108.26","0.00 %","495,139,464.00"
"INVESTMENT","2021-06-30","109.92","109.92","104.7","105.87","0.00 %","302,368,542.00"
"INVESTMENT","2021-07-01","107.85","108.72","105.93","107.08","0.00 %","258,679,640.00"
"INVESTMENT","2021-07-04","107.6","108.11","105.88","106.63","0.00 %","270,651,318.00"
"INVESTMENT","2021-07-05","106.54","107.28","104.66","107.22","0.00 %","308,677,440.00"
"INVESTMENT","2021-07-06","107.36","107.37","104.78","104.94","0.00 %","297,311,216.00"
"INVESTMENT","2021-07-07","104.94","105.3","103.01","104.09","0.00 %","228,220,246.00"
"INVESTMENT","2021-07-08","103.97","107.61","102.64","105.22","0.00 %","281,886,123.00"
"INVESTMENT","2021-07-11","105.51","108.12","105.46","108.04","0.00 %","390,466,026.00"
"INVESTMENT","2021-07-12","109.8","109.81","104.75","105.17","0.00 %","348,578,132.00"
"INVESTMENT","2021-07-13","105.85","107","104.93","105.52","0.00 %","241,765,617.00"
"INVESTMENT","2021-07-14","107.35","107.89","105.38","106.28","0.00 %","196,085,709.00"
"INVESTMENT","2021-07-15","106.27","106.94","105.54","106.26","0.00 %","213,026,777.00"
"INVESTMENT","2021-07-18","106.33","108.03","106.15","107.97","0.00 %","389,382,171.20"
"INVESTMENT","2021-07-19","108.87","110.72","107.67","109.83","0.00 %","397,538,895.20"
"INVESTMENT","2021-07-20","111.25","111.29","107.77","108.79","0.00 %","309,607,086.00"
