"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"LIFEINSU","2019-12-03","5024.36","5140.27","5022.64","5081.98","0.00 %","20,086,400.00"
"LIFEINSU","2019-12-04","5081.98","5333.26","5081.98","5224.89","0.00 %","41,825,300.00"
"LIFEINSU","2019-12-05","5210.82","5398.63","5210.82","5378.1","0.00 %","62,261,400.00"
"LIFEINSU","2019-12-08","5369.66","5390.85","5238.24","5366.45","0.00 %","26,374,100.00"
"LIFEINSU","2019-12-09","5378.31","5473.35","5366.52","5427.43","0.00 %","41,131,500.00"
"LIFEINSU","2019-12-10","5427.43","5489.53","5353.91","5436.57","0.00 %","30,278,800.00"
"LIFEINSU","2019-12-11","5460.37","5543.13","5396.11","5515.86","0.00 %","28,685,900.00"
"LIFEINSU","2019-12-12","5520.27","5855.03","5510.67","5794.55","0.00 %","107,756,000.00"
"LIFEINSU","2019-12-15","5794.55","5808.42","5642.63","5642.63","0.00 %","70,602,800.00"
"LIFEINSU","2019-12-16","5649.82","5657.01","5493.42","5506.1","0.00 %","37,654,000.00"
"LIFEINSU","2019-12-17","5551.09","5583.7","5475.17","5552.68","0.00 %","32,536,500.00"
"LIFEINSU","2019-12-18","5600.49","5615.07","5486.28","5530.31","0.00 %","22,785,300.00"
"LIFEINSU","2019-12-19","5524.69","5590.8","5457.18","5488.31","0.00 %","32,411,300.00"
"LIFEINSU","2019-12-22","5485","5493.44","5443.04","5444.54","0.00 %","27,115,100.00"
"LIFEINSU","2019-12-23","5450.05","5665.75","5430.48","5615.42","0.00 %","42,926,800.00"
"LIFEINSU","2019-12-24","5620.94","5640.07","5555.75","5575.08","0.00 %","43,502,000.00"
"LIFEINSU","2019-12-25","5577.9","5729.73","5573.4","5644.78","0.00 %","57,701,800.00"
"LIFEINSU","2019-12-26","5644.78","5702.54","5611.04","5661.34","0.00 %","49,294,200.00"
"LIFEINSU","2019-12-29","5675.4","5774.42","5675.4","5742.05","0.00 %","68,369,900.00"
"LIFEINSU","2019-12-30","5638","6011.42","5638","5998.58","0.00 %","180,245,000.00"
"LIFEINSU","2019-12-31","6015.12","6071.91","5918.8","5993.78","0.00 %","114,639,000.00"
"LIFEINSU","2020-01-01","6010.32","6025.31","5911.42","5911.42","0.00 %","49,713,200.00"
"LIFEINSU","2020-01-02","5890.76","5900.86","5844.14","5862.58","0.00 %","50,458,200.00"
"LIFEINSU","2020-01-05","5865.66","6003.87","5865.66","5946.26","0.00 %","63,193,400.00"
"LIFEINSU","2020-01-06","5988.44","6016.92","5948.17","5958.39","0.00 %","49,217,400.00"
"LIFEINSU","2020-01-07","5927.46","6010.01","5919.24","5959.44","0.00 %","54,200,000.00"
"LIFEINSU","2020-01-08","5963.55","6015.64","5940.77","5948.33","0.00 %","46,633,300.00"
"LIFEINSU","2020-01-09","5959.58","5995.72","5939.48","5967.44","0.00 %","37,997,700.00"
"LIFEINSU","2020-01-12","6009.63","6376.71","6009.63","6376.71","0.00 %","151,597,000.00"
"LIFEINSU","2020-01-13","6383.33","6563.23","6350.84","6428.78","0.00 %","165,982,000.00"
"LIFEINSU","2020-01-14","6454.09","6464.06","6306.83","6377.12","0.00 %","78,567,200.00"
"LIFEINSU","2020-01-15","6370.5","6462.79","6368.97","6458.18","0.00 %","67,775,400.00"
"LIFEINSU","2020-01-16","6481.16","6694.22","6481.16","6700.76","0.00 %","126,616,000.00"
"LIFEINSU","2020-01-19","6750.39","7159.83","6750.39","7104.01","0.00 %","235,094,000.00"
"LIFEINSU","2020-01-20","7111.72","7193.25","6829.71","6949.35","0.00 %","279,708,000.00"
"LIFEINSU","2020-01-21","6955.12","7143.5","6817.23","7010.82","0.00 %","228,142,000.00"
"LIFEINSU","2020-01-22","7017.07","7272.97","6972.28","7173.56","0.00 %","294,346,000.00"
"LIFEINSU","2020-01-23","7183.85","7408.34","7143.74","7214.45","0.00 %","369,201,000.00"
"LIFEINSU","2020-01-26","7215.55","7229.61","7075.72","7089.45","0.00 %","195,420,000.00"
"LIFEINSU","2020-01-27","7052.9","7263.49","7029.73","7263.49","0.00 %","201,397,000.00"
"LIFEINSU","2020-01-28","7294.41","7478.54","7294.41","7422.77","0.00 %","281,422,000.00"
"LIFEINSU","2020-01-29","7413.95","7498.29","7370.76","7389.9","0.00 %","146,237,000.00"
"LIFEINSU","2020-01-30","7416.64","7674.33","7405.61","7558.53","0.00 %","462,297,000.00"
"LIFEINSU","2020-02-02","7578.38","7681.52","7515.9","7557.44","0.00 %","307,464,000.00"
"LIFEINSU","2020-02-03","7567.71","7582.73","7472.64","7514.64","0.00 %","141,113,000.00"
"LIFEINSU","2020-02-04","7512.43","7590.88","7414.7","7438.02","0.00 %","177,112,000.00"
"LIFEINSU","2020-02-05","7451.95","7506.96","7421.07","7476.28","0.00 %","158,115,000.00"
"LIFEINSU","2020-02-06","7496.69","7574.08","7465.9","7500.16","0.00 %","190,580,000.00"
"LIFEINSU","2020-02-09","7513.19","7519.64","7380.48","7424.3","0.00 %","109,639,000.00"
"LIFEINSU","2020-02-10","7429.58","7504.77","7376.21","7422.81","0.00 %","76,749,900.00"
"LIFEINSU","2020-02-11","7442.66","7579.96","7442.66","7476.07","0.00 %","121,565,000.00"
"LIFEINSU","2020-02-12","7488.25","7574.09","7488.25","7534.46","0.00 %","140,513,000.00"
"LIFEINSU","2020-02-13","7541.66","7672.33","7541.66","7637.19","0.00 %","234,500,000.00"
"LIFEINSU","2020-02-16","7638.63","8035.88","7638.63","8035.88","0.00 %","359,741,000.00"
"LIFEINSU","2020-02-17","8058.38","8363.04","8058.38","8153.6","0.00 %","340,621,000.00"
"LIFEINSU","2020-02-18","8164.63","8217.81","7991.53","8107.67","0.00 %","228,707,000.00"
"LIFEINSU","2020-02-19","8166.24","8182.69","8038.02","8088.25","0.00 %","115,787,000.00"
"LIFEINSU","2020-02-20","8090.46","8525.1","8090.46","8473.64","0.00 %","338,308,000.00"
"LIFEINSU","2020-02-23","8473.64","8795.76","8466.96","8666","0.00 %","359,729,000.00"
"LIFEINSU","2020-02-24","8702.51","8785.64","8623.34","8661.26","0.00 %","281,255,000.00"
"LIFEINSU","2020-02-25","8551.59","9392.4","8551.59","9334.76","0.00 %","448,689,000.00"
"LIFEINSU","2020-02-26","9402.25","9938.8","9402.25","9905.94","0.00 %","667,014,000.00"
"LIFEINSU","2020-02-27","9945.86","9993.55","9485.12","9741.31","0.00 %","725,718,000.00"
"LIFEINSU","2020-03-01","9771.08","9771.08","9266.69","9266.69","0.00 %","604,745,000.00"
"LIFEINSU","2020-03-02","9295.36","9295.36","8568.98","8576.39","0.00 %","325,760,000.00"
"LIFEINSU","2020-03-03","8444.62","8987.56","8183.91","8765.69","0.00 %","702,160,000.00"
"LIFEINSU","2020-03-04","8825.62","8880.2","8265.53","8308.73","0.00 %","532,465,000.00"
"LIFEINSU","2020-03-05","8361.55","8541.47","8183.27","8386.57","0.00 %","543,933,000.00"
"LIFEINSU","2020-03-10","8415.07","8415.07","7623.65","7623.65","0.00 %","139,404,000.00"
"LIFEINSU","2020-03-11","7833.99","8134.63","7649.33","8134.63","0.00 %","374,497,000.00"
"LIFEINSU","2020-03-12","8221.33","8274.99","7818.97","7897.32","0.00 %","345,744,000.00"
