"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MUTUAL","2019-12-03","8.96","9.03","9.05","9.03","0.00 %","147,407.00"
"MUTUAL","2019-12-04","9.03","9.03","9.13","9.12","0.00 %","728,743.00"
"MUTUAL","2019-12-05","9.13","9.13","9.23","9.23","0.00 %","375,866.00"
"MUTUAL","2019-12-08","9.17","9.24","9.34","9.22","0.00 %","586,185.00"
"MUTUAL","2019-12-09","9.16","9.23","9.26","9.22","0.00 %","1,073,950.00"
"MUTUAL","2019-12-10","9.22","9.24","9.25","9.23","0.00 %","216,842.00"
"MUTUAL","2019-12-11","9.21","9.22","9.25","9.25","0.00 %","438,106.00"
"MUTUAL","2019-12-12","9.23","9.23","9.34","9.33","0.00 %","221,539.00"
"MUTUAL","2019-12-15","9.28","9.33","9.33","9.28","0.00 %","446,723.00"
"MUTUAL","2019-12-16","9.23","9.28","9.29","9.25","0.00 %","505,918.00"
"MUTUAL","2019-12-17","9.26","9.26","9.28","9.27","0.00 %","429,242.00"
"MUTUAL","2019-12-18","9.24","9.28","9.28","9.26","0.00 %","400,086.00"
"MUTUAL","2019-12-19","9.25","9.26","9.32","9.31","0.00 %","537,939.00"
"MUTUAL","2019-12-22","9.28","9.3","9.37","9.36","0.00 %","695,805.00"
"MUTUAL","2019-12-23","9.28","9.37","9.37","9.28","0.00 %","274,169.00"
"MUTUAL","2019-12-24","9.28","9.28","9.31","9.28","0.00 %","658,767.00"
"MUTUAL","2019-12-25","9.27","9.28","9.32","9.29","0.00 %","306,326.00"
"MUTUAL","2019-12-26","9.25","9.29","9.29","9.26","0.00 %","400,830.00"
"MUTUAL","2019-12-29","9.08","9.26","9.26","9.09","0.00 %","1,366,980.00"
"MUTUAL","2019-12-30","9.09","9.09","9.22","9.22","0.00 %","919,012.00"
"MUTUAL","2019-12-31","9.18","9.21","9.25","9.2","0.00 %","684,051.00"
"MUTUAL","2020-01-01","9.2","9.2","9.3","9.3","0.00 %","721,829.00"
"MUTUAL","2020-01-02","9.27","9.3","9.3","9.28","0.00 %","379,183.00"
"MUTUAL","2020-01-05","9.26","9.28","9.39","9.3","0.00 %","431,441.00"
"MUTUAL","2020-01-06","9.26","9.3","9.45","9.45","0.00 %","944,429.00"
"MUTUAL","2020-01-07","9.35","9.45","9.53","9.46","0.00 %","1,222,970.00"
"MUTUAL","2020-01-08","9.45","9.47","9.55","9.55","0.00 %","1,202,580.00"
"MUTUAL","2020-01-09","9.45","9.55","9.55","9.48","0.00 %","1,235,310.00"
"MUTUAL","2020-01-12","9.47","9.47","9.72","9.72","0.00 %","1,514,420.00"
"MUTUAL","2020-01-13","9.67","9.72","9.77","9.75","0.00 %","2,638,960.00"
"MUTUAL","2020-01-14","9.68","9.74","9.76","9.68","0.00 %","2,200,150.00"
"MUTUAL","2020-01-15","9.68","9.68","9.75","9.74","0.00 %","2,342,060.00"
"MUTUAL","2020-01-16","9.75","9.75","10.05","10.05","0.00 %","3,009,990.00"
"MUTUAL","2020-01-19","10.08","10.08","10.6","10.6","0.00 %","4,224,790.00"
"MUTUAL","2020-01-20","10.42","10.64","10.66","10.42","0.00 %","4,840,110.00"
