"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NONLIFEINSU","2019-12-03","3944.3","3983.67","3941.38","3966.85","0.00 %","28,648,800.00"
"NONLIFEINSU","2019-12-04","3966.85","4129.83","3966.85","4068.5","0.00 %","66,453,100.00"
"NONLIFEINSU","2019-12-05","4070.91","4157.58","4065.91","4140.5","0.00 %","87,842,500.00"
"NONLIFEINSU","2019-12-08","4140.5","4140.5","4071.33","4106.2","0.00 %","38,992,900.00"
"NONLIFEINSU","2019-12-09","4106.2","4328.53","4099.06","4262.54","0.00 %","78,410,700.00"
"NONLIFEINSU","2019-12-10","4262.54","4333.79","4237.07","4259.58","0.00 %","60,538,500.00"
"NONLIFEINSU","2019-12-11","4261.53","4396.3","4241.57","4372.71","0.00 %","63,328,500.00"
"NONLIFEINSU","2019-12-12","4372.71","4732.04","4372.71","4704.75","0.00 %","242,414,000.00"
"NONLIFEINSU","2019-12-15","4704.75","4898.47","4671.23","4671.23","0.00 %","164,691,000.00"
"NONLIFEINSU","2019-12-16","4668.1","4672.12","4464.67","4499.14","0.00 %","78,687,300.00"
"NONLIFEINSU","2019-12-17","4499.14","4542.01","4473.69","4537.89","0.00 %","55,667,100.00"
"NONLIFEINSU","2019-12-18","4537.89","4556.51","4475.22","4500.16","0.00 %","37,376,800.00"
"NONLIFEINSU","2019-12-19","4500.16","4500.16","4432.27","4463.94","0.00 %","49,174,400.00"
"NONLIFEINSU","2019-12-22","4463.94","4476.52","4416.01","4439.74","0.00 %","39,147,600.00"
"NONLIFEINSU","2019-12-23","4439.74","4604.2","4439.74","4598.54","0.00 %","72,740,100.00"
"NONLIFEINSU","2019-12-24","4598.54","4656.99","4538.99","4538.99","0.00 %","78,218,400.00"
"NONLIFEINSU","2019-12-25","4538.99","4600.01","4532.8","4555.22","0.00 %","76,106,600.00"
"NONLIFEINSU","2019-12-26","4555.22","4569.07","4516.95","4530.55","0.00 %","64,083,800.00"
"NONLIFEINSU","2019-12-29","4530.55","4536.62","4499.24","4520.07","0.00 %","89,389,200.00"
"NONLIFEINSU","2019-12-30","4518.84","4582.08","4499.58","4581.97","0.00 %","210,904,000.00"
"NONLIFEINSU","2019-12-31","4581.97","4600.7","4542.71","4568.22","0.00 %","134,550,000.00"
"NONLIFEINSU","2020-01-01","4563.93","4577","4518.59","4540.4","0.00 %","58,813,800.00"
