"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"OTHERS","2019-12-03","641.72","646.92","637.91","639.51","0.00 %","3,940,380.00"
"OTHERS","2019-12-04","639.51","645.12","634.88","645.12","0.00 %","5,119,000.00"
"OTHERS","2019-12-05","645.45","651.82","645.45","649.33","0.00 %","1,775,860.00"
"OTHERS","2019-12-08","647.87","670.98","640.81","668.8","0.00 %","3,364,170.00"
"OTHERS","2019-12-09","666.62","670.42","652.45","668.06","0.00 %","9,530,880.00"
"OTHERS","2019-12-10","677.49","677.49","654.24","656.83","0.00 %","4,544,220.00"
"OTHERS","2019-12-11","665.54","670.62","653.2","661.97","0.00 %","4,890,980.00"
"OTHERS","2019-12-12","671.4","671.4","657.48","660.02","0.00 %","5,202,740.00"
"OTHERS","2019-12-15","669.46","679.72","649.52","662.31","0.00 %","4,720,790.00"
"OTHERS","2019-12-16","663.37","663.37","645.61","647.99","0.00 %","8,574,060.00"
"OTHERS","2019-12-17","654.53","656.56","646.2","650.28","0.00 %","2,531,830.00"
"OTHERS","2019-12-18","649.75","654.08","648.24","650.96","0.00 %","2,915,580.00"
"OTHERS","2019-12-19","657.5","658.03","643.16","645.95","0.00 %","2,873,350.00"
"OTHERS","2019-12-22","649.58","654.27","644.16","651.76","0.00 %","4,469,640.00"
"OTHERS","2019-12-23","656.01","683.4","656.01","683.4","0.00 %","41,397,800.00"
"OTHERS","2019-12-24","687.13","710.81","681.22","683.78","0.00 %","116,136,000.00"
"OTHERS","2019-12-25","681.11","692.56","681.11","685.88","0.00 %","24,675,400.00"
"OTHERS","2019-12-26","693.86","694.03","682.67","685.63","0.00 %","11,993,900.00"
"OTHERS","2019-12-29","685.09","690.18","685.09","687.12","0.00 %","11,085,900.00"
"OTHERS","2019-12-30","688.23","695.03","685.2","693.65","0.00 %","40,173,800.00"
"OTHERS","2019-12-31","693.65","695.99","662.96","665.46","0.00 %","19,760,800.00"
"OTHERS","2020-01-01","664.4","667.71","657.36","663.68","0.00 %","19,056,400.00"
"OTHERS","2020-01-02","656.38","656.91","651.64","651.71","0.00 %","16,666,600.00"
"OTHERS","2020-01-05","650.01","658.4","647.4","654.47","0.00 %","27,019,900.00"
"OTHERS","2020-01-06","654.47","662.25","652.17","658.03","0.00 %","17,263,100.00"
"OTHERS","2020-01-07","656.96","662.85","655.4","659.54","0.00 %","10,619,800.00"
"OTHERS","2020-01-08","663.9","672.61","657.03","659.88","0.00 %","15,172,900.00"
"OTHERS","2020-01-09","659.35","663.64","654.54","657.32","0.00 %","7,255,590.00"
"OTHERS","2020-01-12","656.26","675.25","653.55","675.25","0.00 %","28,310,500.00"
"OTHERS","2020-01-13","697.75","699.45","675.51","682.24","0.00 %","91,575,300.00"
"OTHERS","2020-01-14","689.5","700.73","677","687.44","0.00 %","79,634,100.00"
"OTHERS","2020-01-15","688.09","690.98","682.55","686.6","0.00 %","34,269,900.00"
"OTHERS","2020-01-16","687.66","699.12","681.64","687.4","0.00 %","27,327,500.00"
"OTHERS","2020-01-19","686.73","698.68","685.39","697.26","0.00 %","53,091,000.00"
"OTHERS","2020-01-20","698.33","699.24","678.86","683.73","0.00 %","44,089,500.00"
"OTHERS","2020-01-21","686.07","695.85","674.31","676.29","0.00 %","16,901,200.00"
"OTHERS","2020-01-22","678.69","679.76","672.17","670.34","0.00 %","18,594,900.00"
"OTHERS","2020-01-23","670.34","688.3","668.96","672.06","0.00 %","24,158,000.00"
"OTHERS","2020-01-26","675.26","677.28","662.27","665.34","0.00 %","13,713,400.00"
"OTHERS","2020-01-27","664.61","673.92","662.84","670.49","0.00 %","11,503,000.00"
"OTHERS","2020-01-28","677.75","687.71","672.58","674.53","0.00 %","50,274,400.00"
"OTHERS","2020-01-29","674.86","683.3","669.26","672.54","0.00 %","19,676,900.00"
"OTHERS","2020-01-30","681.25","692.72","673.38","674.46","0.00 %","28,754,600.00"
"OTHERS","2020-02-02","674.47","678.16","673.62","677.62","0.00 %","25,252,300.00"
"OTHERS","2020-02-03","679.38","688.09","675.46","678.06","0.00 %","22,492,900.00"
"OTHERS","2020-02-04","678.32","684.36","675.45","678.95","0.00 %","27,239,300.00"
"OTHERS","2020-02-05","681.95","690.42","675.46","690.08","0.00 %","69,287,600.00"
"OTHERS","2020-02-06","686.89","695.55","684.18","686.87","0.00 %","33,858,800.00"
"OTHERS","2020-02-09","686.34","687.35","679.13","682.82","0.00 %","35,201,500.00"
"OTHERS","2020-02-10","690.08","691.52","682.78","688.17","0.00 %","45,108,000.00"
"OTHERS","2020-02-11","690.77","694.56","688.79","694.56","0.00 %","59,888,400.00"
"OTHERS","2020-02-12","690.93","708.09","690.93","704.75","0.00 %","104,174,000.00"
"OTHERS","2020-02-13","708.33","718.28","702.81","704.99","0.00 %","65,225,200.00"
"OTHERS","2020-02-16","713.7","713.7","701.91","702.3","0.00 %","48,619,800.00"
"OTHERS","2020-02-17","702.3","718.72","702.3","708.51","0.00 %","51,879,000.00"
"OTHERS","2020-02-18","715.77","716.3","702.23","706.17","0.00 %","35,398,700.00"
"OTHERS","2020-02-19","723.59","723.59","699.97","710.72","0.00 %","38,923,100.00"
"OTHERS","2020-02-20","713","722.29","709.59","719.76","0.00 %","97,929,100.00"
"OTHERS","2020-02-23","727.17","744.38","725.98","744.38","0.00 %","135,276,000.00"
"OTHERS","2020-02-24","750.01","781.7","747.31","753.42","0.00 %","77,995,300.00"
"OTHERS","2020-02-25","757.15","811.89","746.68","800.46","0.00 %","141,260,000.00"
"OTHERS","2020-02-26","811.72","842.27","809.95","821.95","0.00 %","160,203,000.00"
"OTHERS","2020-02-27","830.67","830.67","800.29","799.42","0.00 %","80,908,800.00"
"OTHERS","2020-03-01","850.97","850.97","783.19","783.19","0.00 %","96,887,800.00"
"OTHERS","2020-03-02","793.35","793.35","752.4","752.4","0.00 %","62,629,100.00"
"OTHERS","2020-03-03","745.24","769.33","727.2","752.25","0.00 %","66,346,900.00"
"OTHERS","2020-03-04","760.97","763.83","723.76","723.76","0.00 %","59,652,500.00"
"OTHERS","2020-03-05","720.24","734.74","711.78","725.76","0.00 %","43,487,100.00"
"OTHERS","2020-03-10","735.2","735.2","695.65","696.38","0.00 %","29,176,000.00"
"OTHERS","2020-03-11","700.63","733.27","693.01","716.16","0.00 %","43,648,800.00"
"OTHERS","2020-03-12","719.22","726.48","696.26","700.94","0.00 %","47,844,700.00"
