Symbol,Date,Close
MUTUAL,2019-12-03,9.03
MUTUAL,2019-12-04,9.12
MUTUAL,2019-12-05,9.23
MUTUAL,2019-12-08,9.22
MUTUAL,2019-12-09,9.22
MUTUAL,2019-12-10,9.23
MUTUAL,2019-12-11,9.25
MUTUAL,2019-12-12,9.33
MUTUAL,2019-12-15,9.28
MUTUAL,2019-12-16,9.25
MUTUAL,2019-12-17,9.27
MUTUAL,2019-12-18,9.26
MUTUAL,2019-12-19,9.31
MUTUAL,2019-12-22,9.36
MUTUAL,2019-12-23,9.28
MUTUAL,2019-12-24,9.28
MUTUAL,2019-12-25,9.29
MUTUAL,2019-12-26,9.26
MUTUAL,2019-12-29,9.09
MUTUAL,2019-12-30,9.22
MUTUAL,2019-12-31,9.2
MUTUAL,2020-01-01,9.3
MUTUAL,2020-01-02,9.28
MUTUAL,2020-01-05,9.3
MUTUAL,2020-01-06,9.45
MUTUAL,2020-01-07,9.46
MUTUAL,2020-01-08,9.55
MUTUAL,2020-01-09,9.48
MUTUAL,2020-01-12,9.72
MUTUAL,2020-01-13,9.75
MUTUAL,2020-01-14,9.68
MUTUAL,2020-01-15,9.74
MUTUAL,2020-01-16,10.05
MUTUAL,2020-01-19,10.6
MUTUAL,2020-01-20,10.42
MUTUAL,2020-01-21,10.27
MUTUAL,2020-01-22,10.21
MUTUAL,2020-01-23,10.19
MUTUAL,2020-01-26,10.13
MUTUAL,2020-01-27,10.16
MUTUAL,2020-01-28,10.26
MUTUAL,2020-01-29,10.12
MUTUAL,2020-01-30,10.15
MUTUAL,2020-02-02,10.23
MUTUAL,2020-02-03,10.29
MUTUAL,2020-02-04,10.15
MUTUAL,2020-02-05,10.01
MUTUAL,2020-02-06,9.99
MUTUAL,2020-02-09,9.93
MUTUAL,2020-02-10,9.93
MUTUAL,2020-02-11,10.09
MUTUAL,2020-02-12,10.12
MUTUAL,2020-02-13,10.07
MUTUAL,2020-02-16,10.01
MUTUAL,2020-02-17,10.11
MUTUAL,2020-02-18,10.3
MUTUAL,2020-02-19,10.3
MUTUAL,2020-02-20,10.26
MUTUAL,2020-02-23,10.54
MUTUAL,2020-02-24,10.5
MUTUAL,2020-02-25,10.59
MUTUAL,2020-02-26,10.93
MUTUAL,2020-02-27,10.76
MUTUAL,2020-03-01,10.56
MUTUAL,2020-03-02,10.38
MUTUAL,2020-03-03,10.64
MUTUAL,2020-03-04,10.52
MUTUAL,2020-03-05,10.39
MUTUAL,2020-03-10,10.35
MUTUAL,2020-03-11,10.28
MUTUAL,2020-03-12,10.09
MUTUAL,2020-03-15,9.78
MUTUAL,2020-03-16,9.67
MUTUAL,2020-03-17,9.71
MUTUAL,2020-03-18,9.68
MUTUAL,2020-03-19,9.69
MUTUAL,2020-05-12,9.68
MUTUAL,2020-06-29,9.63
MUTUAL,2020-06-30,9.59
MUTUAL,2020-07-01,9.6
MUTUAL,2020-07-02,9.61
MUTUAL,2020-07-05,9.44
MUTUAL,2020-07-06,9.37
MUTUAL,2020-07-07,9.54
MUTUAL,2020-07-08,9.64
MUTUAL,2020-07-09,9.92
MUTUAL,2020-07-12,9.91
MUTUAL,2020-07-13,10.11
MUTUAL,2020-07-14,10.24
MUTUAL,2020-07-15,10.45
MUTUAL,2020-07-16,10.48
MUTUAL,2020-07-19,10.47
MUTUAL,2020-07-20,10.49
MUTUAL,2020-07-21,10.55
MUTUAL,2020-07-22,10.62
MUTUAL,2020-07-23,10.59
MUTUAL,2020-07-26,10.57
MUTUAL,2020-07-27,10.56
MUTUAL,2020-07-28,10.7
MUTUAL,2020-07-29,10.54
MUTUAL,2020-07-30,10.61
MUTUAL,2020-08-02,10.54
MUTUAL,2020-08-03,10.48
MUTUAL,2020-08-06,10.4
MUTUAL,2020-08-09,10.61
MUTUAL,2020-08-10,10.58
MUTUAL,2020-08-11,10.6
MUTUAL,2020-08-12,10.7
MUTUAL,2020-08-13,10.68
MUTUAL,2020-08-16,10.62
MUTUAL,2020-08-17,10.63
MUTUAL,2020-08-18,10.59
MUTUAL,2020-08-19,10.59
MUTUAL,2020-08-20,10.58
MUTUAL,2020-08-23,10.55
MUTUAL,2020-08-24,10.58
MUTUAL,2020-08-25,10.57
MUTUAL,2020-08-26,10.73
MUTUAL,2020-08-27,10.66
MUTUAL,2020-08-30,10.63
MUTUAL,2020-08-31,10.7
MUTUAL,2020-09-02,10.78
MUTUAL,2020-09-03,10.84
MUTUAL,2020-09-06,10.84
MUTUAL,2020-09-07,10.79
MUTUAL,2020-09-08,10.8
MUTUAL,2020-09-09,10.83
MUTUAL,2020-09-10,10.81
MUTUAL,2020-09-13,10.73
MUTUAL,2020-09-14,10.77
MUTUAL,2020-09-15,10.81
MUTUAL,2020-09-16,10.86
MUTUAL,2020-09-17,10.97
MUTUAL,2020-09-20,10.87
MUTUAL,2020-09-21,10.76
MUTUAL,2020-09-22,10.68
MUTUAL,2020-09-23,10.7
MUTUAL,2020-09-24,10.69
MUTUAL,2020-09-27,10.72
MUTUAL,2020-09-28,10.67
MUTUAL,2020-09-29,10.69
MUTUAL,2020-09-30,10.82
MUTUAL,2020-10-01,10.81
MUTUAL,2020-10-04,10.46
MUTUAL,2020-10-05,10.55
MUTUAL,2020-10-06,10.53
MUTUAL,2020-10-07,10.58
MUTUAL,2020-10-08,10.6
MUTUAL,2020-10-11,10.5
MUTUAL,2020-10-12,10.47
MUTUAL,2020-10-13,10.52
MUTUAL,2020-10-14,10.45
MUTUAL,2020-10-15,10.46
MUTUAL,2020-10-18,10.42
MUTUAL,2020-10-19,10.46
MUTUAL,2020-10-20,10.57
MUTUAL,2020-10-21,10.67
MUTUAL,2020-10-22,10.61
MUTUAL,2020-10-28,10.73
MUTUAL,2020-10-29,10.63
MUTUAL,2020-11-01,10.63
MUTUAL,2020-11-02,10.64
MUTUAL,2020-11-03,10.91
MUTUAL,2020-11-04,10.91
MUTUAL,2020-11-05,10.89
MUTUAL,2020-11-08,11.05
MUTUAL,2020-11-09,11.0
MUTUAL,2020-11-10,10.98
MUTUAL,2020-11-11,11.53
MUTUAL,2020-11-12,11.55
MUTUAL,2020-11-18,11.7
MUTUAL,2020-11-19,11.78
MUTUAL,2020-11-22,11.51
MUTUAL,2020-11-23,11.34
MUTUAL,2020-11-24,11.44
MUTUAL,2020-11-25,11.6
MUTUAL,2020-11-26,11.67
MUTUAL,2020-11-29,11.72
MUTUAL,2020-11-30,11.6
MUTUAL,2020-12-01,11.42
MUTUAL,2020-12-02,11.46
MUTUAL,2020-12-03,11.41
MUTUAL,2020-12-06,11.21
MUTUAL,2020-12-07,11.29
MUTUAL,2020-12-08,11.38
MUTUAL,2020-12-09,11.22
MUTUAL,2020-12-10,11.23
MUTUAL,2020-12-13,11.35
MUTUAL,2020-12-14,11.5
MUTUAL,2020-12-15,11.43
MUTUAL,2020-12-16,11.43
MUTUAL,2020-12-17,11.37
MUTUAL,2020-12-20,11.25
MUTUAL,2020-12-21,11.23
MUTUAL,2020-12-22,11.31
MUTUAL,2020-12-23,11.38
MUTUAL,2020-12-24,11.36
MUTUAL,2020-12-27,11.31
MUTUAL,2020-12-28,11.34
MUTUAL,2020-12-29,11.33
MUTUAL,2020-12-30,11.51
MUTUAL,2020-12-31,11.51
MUTUAL,2021-01-03,11.54
MUTUAL,2021-01-04,11.54
MUTUAL,2021-01-05,11.51
MUTUAL,2021-01-06,11.6
MUTUAL,2021-01-07,11.61
