Symbol,Date,Close
NONLIFEINSU,2019-12-03,3966.85
NONLIFEINSU,2019-12-04,4068.5
NONLIFEINSU,2019-12-05,4140.5
NONLIFEINSU,2019-12-08,4106.2
NONLIFEINSU,2019-12-09,4262.54
NONLIFEINSU,2019-12-10,4259.58
NONLIFEINSU,2019-12-11,4372.71
NONLIFEINSU,2019-12-12,4704.75
NONLIFEINSU,2019-12-15,4671.23
NONLIFEINSU,2019-12-16,4499.14
NONLIFEINSU,2019-12-17,4537.89
NONLIFEINSU,2019-12-18,4500.16
NONLIFEINSU,2019-12-19,4463.94
NONLIFEINSU,2019-12-22,4439.74
NONLIFEINSU,2019-12-23,4598.54
NONLIFEINSU,2019-12-24,4538.99
NONLIFEINSU,2019-12-25,4555.22
NONLIFEINSU,2019-12-26,4530.55
NONLIFEINSU,2019-12-29,4520.07
NONLIFEINSU,2019-12-30,4581.97
NONLIFEINSU,2019-12-31,4568.22
NONLIFEINSU,2020-01-01,4540.4
NONLIFEINSU,2020-01-02,4524.18
NONLIFEINSU,2020-01-05,4583.47
NONLIFEINSU,2020-01-06,4584.26
NONLIFEINSU,2020-01-07,4670.82
NONLIFEINSU,2020-01-08,4608.89
NONLIFEINSU,2020-01-09,4704.29
NONLIFEINSU,2020-01-12,5088.5
NONLIFEINSU,2020-01-13,5127.51
NONLIFEINSU,2020-01-14,5078.72
NONLIFEINSU,2020-01-15,5102.35
NONLIFEINSU,2020-01-16,5228.06
NONLIFEINSU,2020-01-19,5565.08
NONLIFEINSU,2020-01-20,5448.77
NONLIFEINSU,2020-01-21,5529.94
NONLIFEINSU,2020-01-22,5506.89
NONLIFEINSU,2020-01-23,5440.27
NONLIFEINSU,2020-01-26,5288.53
NONLIFEINSU,2020-01-27,5438.29
NONLIFEINSU,2020-01-28,5579.62
NONLIFEINSU,2020-01-29,5676.81
NONLIFEINSU,2020-01-30,5901.45
NONLIFEINSU,2020-02-02,6002.96
NONLIFEINSU,2020-02-03,6062.24
NONLIFEINSU,2020-02-04,6091.02
NONLIFEINSU,2020-02-05,6117.5
NONLIFEINSU,2020-02-06,6029.03
NONLIFEINSU,2020-02-09,5897.52
NONLIFEINSU,2020-02-10,5969.93
NONLIFEINSU,2020-02-11,6063.4
NONLIFEINSU,2020-02-12,6144.37
NONLIFEINSU,2020-02-13,6200.29
NONLIFEINSU,2020-02-16,6617.08
NONLIFEINSU,2020-02-17,6798.9
NONLIFEINSU,2020-02-18,6787.75
NONLIFEINSU,2020-02-19,6734.97
NONLIFEINSU,2020-02-20,7108.98
NONLIFEINSU,2020-02-23,7248.83
NONLIFEINSU,2020-02-24,7027.95
NONLIFEINSU,2020-02-25,7335.05
NONLIFEINSU,2020-02-26,7568.55
NONLIFEINSU,2020-02-27,7355.16
NONLIFEINSU,2020-03-01,7032.8
NONLIFEINSU,2020-03-02,6508.07
NONLIFEINSU,2020-03-03,6673.25
NONLIFEINSU,2020-03-04,6266.3
NONLIFEINSU,2020-03-05,6240.68
NONLIFEINSU,2020-03-10,5878.49
NONLIFEINSU,2020-03-11,6324.14
NONLIFEINSU,2020-03-12,6007.14
NONLIFEINSU,2020-03-15,5590.41
NONLIFEINSU,2020-03-16,5644.24
NONLIFEINSU,2020-03-17,5305.91
NONLIFEINSU,2020-03-18,5193.17
NONLIFEINSU,2020-03-19,5270.49
NONLIFEINSU,2020-03-22,5271.75
NONLIFEINSU,2020-05-12,5199.42
NONLIFEINSU,2020-05-13,5142.25
NONLIFEINSU,2020-06-29,5040.79
NONLIFEINSU,2020-06-30,5336.94
NONLIFEINSU,2020-07-01,5659.35
NONLIFEINSU,2020-07-02,5481.04
NONLIFEINSU,2020-07-05,5508.34
NONLIFEINSU,2020-07-06,5782.73
NONLIFEINSU,2020-07-07,6148.2
NONLIFEINSU,2020-07-08,6118.06
NONLIFEINSU,2020-07-09,6157.57
NONLIFEINSU,2020-07-12,6238.11
NONLIFEINSU,2020-07-13,6242.68
NONLIFEINSU,2020-07-14,6236.27
NONLIFEINSU,2020-07-15,6245.18
NONLIFEINSU,2020-07-16,6324.55
NONLIFEINSU,2020-07-19,6526.95
NONLIFEINSU,2020-07-20,6485.4
NONLIFEINSU,2020-07-21,6454.22
NONLIFEINSU,2020-07-22,6448.68
NONLIFEINSU,2020-07-23,6634.38
NONLIFEINSU,2020-07-26,6894.03
NONLIFEINSU,2020-07-27,6743.61
NONLIFEINSU,2020-07-28,6686.01
NONLIFEINSU,2020-07-29,6526.13
NONLIFEINSU,2020-07-30,6576.59
NONLIFEINSU,2020-08-02,6344.93
NONLIFEINSU,2020-08-03,6391.64
NONLIFEINSU,2020-08-06,6306.87
NONLIFEINSU,2020-08-09,6410.35
NONLIFEINSU,2020-08-10,6693.42
NONLIFEINSU,2020-08-11,6690.21
NONLIFEINSU,2020-08-12,6729.29
NONLIFEINSU,2020-08-13,6652.54
NONLIFEINSU,2020-08-16,6603.36
NONLIFEINSU,2020-08-17,6765.48
NONLIFEINSU,2020-08-18,6816.34
NONLIFEINSU,2020-08-19,6702.9
NONLIFEINSU,2020-08-20,6735.3
NONLIFEINSU,2020-08-23,6968.52
NONLIFEINSU,2020-08-24,7097.22
NONLIFEINSU,2020-08-25,7129.48
NONLIFEINSU,2020-08-26,7181.1
NONLIFEINSU,2020-08-27,7200.83
NONLIFEINSU,2020-08-30,7295.13
NONLIFEINSU,2020-08-31,7528.83
NONLIFEINSU,2020-09-02,7402.94
NONLIFEINSU,2020-09-03,7470.28
NONLIFEINSU,2020-09-06,7444.68
NONLIFEINSU,2020-09-07,7400.93
NONLIFEINSU,2020-09-08,7474.36
NONLIFEINSU,2020-09-09,7736.17
NONLIFEINSU,2020-09-10,8038.19
NONLIFEINSU,2020-09-13,8363.34
NONLIFEINSU,2020-09-14,8108.75
NONLIFEINSU,2020-09-15,8105.51
NONLIFEINSU,2020-09-16,8147.88
NONLIFEINSU,2020-09-17,8147.47
NONLIFEINSU,2020-09-20,8077.36
NONLIFEINSU,2020-09-21,8022.38
NONLIFEINSU,2020-09-22,7909.73
NONLIFEINSU,2020-09-23,7984.5
NONLIFEINSU,2020-09-24,7930.53
NONLIFEINSU,2020-09-27,7858.0
NONLIFEINSU,2020-09-28,7808.17
NONLIFEINSU,2020-09-29,7763.18
NONLIFEINSU,2020-09-30,7711.63
NONLIFEINSU,2020-10-01,8044.04
NONLIFEINSU,2020-10-04,8068.11
NONLIFEINSU,2020-10-05,7952.93
NONLIFEINSU,2020-10-06,7895.9
NONLIFEINSU,2020-10-07,7971.99
NONLIFEINSU,2020-10-08,7897.68
NONLIFEINSU,2020-10-11,7811.31
NONLIFEINSU,2020-10-12,7799.11
NONLIFEINSU,2020-10-13,7750.7
NONLIFEINSU,2020-10-14,7728.62
NONLIFEINSU,2020-10-15,7704.19
NONLIFEINSU,2020-10-18,7735.77
NONLIFEINSU,2020-10-19,7835.29
NONLIFEINSU,2020-10-20,7891.05
NONLIFEINSU,2020-10-21,7955.32
NONLIFEINSU,2020-10-22,7993.84
NONLIFEINSU,2020-10-28,8040.91
NONLIFEINSU,2020-10-29,8080.8
NONLIFEINSU,2020-11-01,8091.25
NONLIFEINSU,2020-11-02,8118.5
NONLIFEINSU,2020-11-03,8295.36
NONLIFEINSU,2020-11-04,8206.68
NONLIFEINSU,2020-11-05,8190.49
NONLIFEINSU,2020-11-08,8209.28
NONLIFEINSU,2020-11-09,8275.13
NONLIFEINSU,2020-11-10,8435.52
NONLIFEINSU,2020-11-11,8774.84
NONLIFEINSU,2020-11-12,8814.0
NONLIFEINSU,2020-11-18,9211.48
NONLIFEINSU,2020-11-19,9610.63
NONLIFEINSU,2020-11-22,9367.49
NONLIFEINSU,2020-11-23,9241.52
NONLIFEINSU,2020-11-24,9569.03
NONLIFEINSU,2020-11-25,9885.72
NONLIFEINSU,2020-11-26,9720.7
NONLIFEINSU,2020-11-29,9675.15
NONLIFEINSU,2020-11-30,9868.18
NONLIFEINSU,2020-12-01,9834.18
NONLIFEINSU,2020-12-02,10079.0
NONLIFEINSU,2020-12-03,9912.6
NONLIFEINSU,2020-12-06,9343.35
NONLIFEINSU,2020-12-07,9748.88
NONLIFEINSU,2020-12-08,9617.14
NONLIFEINSU,2020-12-09,9392.01
NONLIFEINSU,2020-12-10,9466.23
NONLIFEINSU,2020-12-13,9640.27
NONLIFEINSU,2020-12-14,10019.41
NONLIFEINSU,2020-12-15,9937.46
NONLIFEINSU,2020-12-16,9799.04
NONLIFEINSU,2020-12-17,9663.45
NONLIFEINSU,2020-12-20,9131.95
NONLIFEINSU,2020-12-21,9208.71
NONLIFEINSU,2020-12-22,9736.48
NONLIFEINSU,2020-12-23,9683.43
NONLIFEINSU,2020-12-24,9540.94
NONLIFEINSU,2020-12-27,9302.49
NONLIFEINSU,2020-12-28,9377.82
NONLIFEINSU,2020-12-29,9389.67
NONLIFEINSU,2020-12-30,9536.47
NONLIFEINSU,2020-12-31,9440.04
NONLIFEINSU,2021-01-03,9708.47
NONLIFEINSU,2021-01-04,9760.93
NONLIFEINSU,2021-01-05,9818.85
NONLIFEINSU,2021-01-06,9931.51
NONLIFEINSU,2021-01-07,10076.37
NONLIFEINSU,2021-01-10,10115.45
NONLIFEINSU,2021-01-11,10292.39
NONLIFEINSU,2021-01-12,10565.66
NONLIFEINSU,2021-01-13,10676.81
NONLIFEINSU,2021-01-17,10754.86
NONLIFEINSU,2021-01-18,10880.99
NONLIFEINSU,2021-01-19,10756.1
NONLIFEINSU,2021-01-20,10942.08
NONLIFEINSU,2021-01-21,11482.31
NONLIFEINSU,2021-01-24,11706.32
NONLIFEINSU,2021-01-25,11785.66
NONLIFEINSU,2021-01-26,11687.09
NONLIFEINSU,2021-01-27,12151.78
NONLIFEINSU,2021-01-28,12562.16
NONLIFEINSU,2021-01-31,12298.12
NONLIFEINSU,2021-02-01,12422.78
NONLIFEINSU,2021-02-02,13048.99
NONLIFEINSU,2021-02-03,12945.81
NONLIFEINSU,2021-02-04,13024.56
NONLIFEINSU,2021-02-07,13514.85
NONLIFEINSU,2021-02-08,13390.12
NONLIFEINSU,2021-02-09,13155.29
NONLIFEINSU,2021-02-10,13251.11
NONLIFEINSU,2021-02-11,13043.9
NONLIFEINSU,2021-02-14,12966.55
NONLIFEINSU,2021-02-15,13413.99
NONLIFEINSU,2021-02-16,13376.13
NONLIFEINSU,2021-02-17,13239.55
NONLIFEINSU,2021-02-18,13189.25
NONLIFEINSU,2021-02-21,13105.36
NONLIFEINSU,2021-02-22,12996.85
NONLIFEINSU,2021-02-23,12944.81
NONLIFEINSU,2021-02-24,13128.46
NONLIFEINSU,2021-02-25,12952.28
NONLIFEINSU,2021-02-28,12774.18
NONLIFEINSU,2021-03-01,12958.01
NONLIFEINSU,2021-03-02,12614.44
NONLIFEINSU,2021-03-03,12446.56
NONLIFEINSU,2021-03-04,12771.01
NONLIFEINSU,2021-03-07,12685.51
NONLIFEINSU,2021-03-09,12570.81
NONLIFEINSU,2021-03-10,12443.45
NONLIFEINSU,2021-03-14,12068.91
NONLIFEINSU,2021-03-15,11876.3
NONLIFEINSU,2021-03-16,11813.7
NONLIFEINSU,2021-03-17,12038.57
NONLIFEINSU,2021-03-18,12229.66
NONLIFEINSU,2021-03-21,12791.0
NONLIFEINSU,2021-03-22,12607.42
NONLIFEINSU,2021-03-23,12781.46
NONLIFEINSU,2021-03-24,13002.5
NONLIFEINSU,2021-03-25,12948.34
NONLIFEINSU,2021-03-29,12926.45
NONLIFEINSU,2021-03-30,13324.76
NONLIFEINSU,2021-03-31,13674.44
NONLIFEINSU,2021-04-01,13699.45
NONLIFEINSU,2021-04-04,14243.43
NONLIFEINSU,2021-04-05,14136.82
NONLIFEINSU,2021-04-06,13849.06
NONLIFEINSU,2021-04-07,13647.67
NONLIFEINSU,2021-04-08,13585.04
NONLIFEINSU,2021-04-12,13748.8
NONLIFEINSU,2021-04-13,13659.87
NONLIFEINSU,2021-04-15,13668.9
NONLIFEINSU,2021-04-18,13485.71
NONLIFEINSU,2021-04-19,13246.58
NONLIFEINSU,2021-04-20,13222.19
NONLIFEINSU,2021-04-21,13067.96
