Symbol,Date,Close
OTHERS,2019-12-03,639.51
OTHERS,2019-12-04,645.12
OTHERS,2019-12-05,649.33
OTHERS,2019-12-08,668.8
OTHERS,2019-12-09,668.06
OTHERS,2019-12-10,656.83
OTHERS,2019-12-11,661.97
OTHERS,2019-12-12,660.02
OTHERS,2019-12-15,662.31
OTHERS,2019-12-16,647.99
OTHERS,2019-12-17,650.28
OTHERS,2019-12-18,650.96
OTHERS,2019-12-19,645.95
OTHERS,2019-12-22,651.76
OTHERS,2019-12-23,683.4
OTHERS,2019-12-24,683.78
OTHERS,2019-12-25,685.88
OTHERS,2019-12-26,685.63
OTHERS,2019-12-29,687.12
OTHERS,2019-12-30,693.65
OTHERS,2019-12-31,665.46
OTHERS,2020-01-01,663.68
OTHERS,2020-01-02,651.71
OTHERS,2020-01-05,654.47
OTHERS,2020-01-06,658.03
OTHERS,2020-01-07,659.54
OTHERS,2020-01-08,659.88
OTHERS,2020-01-09,657.32
OTHERS,2020-01-12,675.25
OTHERS,2020-01-13,682.24
OTHERS,2020-01-14,687.44
OTHERS,2020-01-15,686.6
OTHERS,2020-01-16,687.4
OTHERS,2020-01-19,697.26
OTHERS,2020-01-20,683.73
OTHERS,2020-01-21,676.29
OTHERS,2020-01-22,670.34
OTHERS,2020-01-23,672.06
OTHERS,2020-01-26,665.34
OTHERS,2020-01-27,670.49
OTHERS,2020-01-28,674.53
OTHERS,2020-01-29,672.54
OTHERS,2020-01-30,674.46
OTHERS,2020-02-02,677.62
OTHERS,2020-02-03,678.06
OTHERS,2020-02-04,678.95
OTHERS,2020-02-05,690.08
OTHERS,2020-02-06,686.87
OTHERS,2020-02-09,682.82
OTHERS,2020-02-10,688.17
OTHERS,2020-02-11,694.56
OTHERS,2020-02-12,704.75
OTHERS,2020-02-13,704.99
OTHERS,2020-02-16,702.3
OTHERS,2020-02-17,708.51
OTHERS,2020-02-18,706.17
OTHERS,2020-02-19,710.72
OTHERS,2020-02-20,719.76
OTHERS,2020-02-23,744.38
OTHERS,2020-02-24,753.42
OTHERS,2020-02-25,800.46
OTHERS,2020-02-26,821.95
OTHERS,2020-02-27,799.42
OTHERS,2020-03-01,783.19
OTHERS,2020-03-02,752.4
OTHERS,2020-03-03,752.25
OTHERS,2020-03-04,723.76
OTHERS,2020-03-05,725.76
OTHERS,2020-03-10,696.38
OTHERS,2020-03-11,716.16
OTHERS,2020-03-12,700.94
OTHERS,2020-03-15,682.71
OTHERS,2020-03-16,686.34
OTHERS,2020-03-17,671.55
OTHERS,2020-03-18,667.01
OTHERS,2020-03-19,672.66
OTHERS,2020-03-22,679.93
OTHERS,2020-05-12,660.52
OTHERS,2020-05-13,641.76
OTHERS,2020-06-29,661.82
OTHERS,2020-06-30,685.79
OTHERS,2020-07-01,706.73
OTHERS,2020-07-02,675.34
OTHERS,2020-07-05,695.17
OTHERS,2020-07-06,724.79
OTHERS,2020-07-07,751.84
OTHERS,2020-07-08,749.05
OTHERS,2020-07-09,755.91
OTHERS,2020-07-12,763.69
OTHERS,2020-07-13,759.79
OTHERS,2020-07-14,757.79
OTHERS,2020-07-15,768.53
OTHERS,2020-07-16,775.31
OTHERS,2020-07-19,824.65
OTHERS,2020-07-20,802.55
OTHERS,2020-07-21,798.75
OTHERS,2020-07-22,784.42
OTHERS,2020-07-23,789.18
OTHERS,2020-07-26,802.98
OTHERS,2020-07-27,808.69
OTHERS,2020-07-28,807.72
OTHERS,2020-07-29,805.84
OTHERS,2020-07-30,810.54
OTHERS,2020-08-02,789.28
OTHERS,2020-08-03,802.1
OTHERS,2020-08-05,797.94
OTHERS,2020-08-06,794.89
OTHERS,2020-08-09,804.45
OTHERS,2020-08-10,817.08
OTHERS,2020-08-11,816.51
OTHERS,2020-08-12,814.99
OTHERS,2020-08-13,809.42
OTHERS,2020-08-16,808.31
OTHERS,2020-08-17,818.68
OTHERS,2020-08-18,832.16
OTHERS,2020-08-19,828.28
OTHERS,2020-08-20,828.37
OTHERS,2020-08-23,832.5
