"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"TRADING","2019-12-03","445.66","445.66","432.99","432.99","0.00 %","529,790.00"
"TRADING","2019-12-04","426.92","440.6","426.92","435.58","0.00 %","1,317,740.00"
"TRADING","2019-12-05","441.65","457.49","436.9","451.95","0.00 %","5,405,400.00"
"TRADING","2019-12-08","445.35","460.92","445.35","460.92","0.00 %","2,044,210.00"
"TRADING","2019-12-09","465.41","494.97","465.41","477.55","0.00 %","3,488,280.00"
"TRADING","2019-12-10","482.83","501.31","477.55","501.31","0.00 %","4,478,680.00"
"TRADING","2019-12-11","514.5","530.87","509.22","530.87","0.00 %","8,929,980.00"
"TRADING","2019-12-12","538.79","538.79","511.86","511.86","0.00 %","4,869,310.00"
"TRADING","2019-12-15","519.52","542.75","519.52","527.79","0.00 %","6,647,610.00"
"TRADING","2019-12-16","535.7","535.7","520.4","524.09","0.00 %","3,833,300.00"
"TRADING","2019-12-17","530.43","563.95","517.76","539.93","0.00 %","9,518,520.00"
"TRADING","2019-12-18","545.74","571.2","532.01","560.12","0.00 %","11,665,700.00"
"TRADING","2019-12-19","568.56","568.56","555.32","565.88","0.00 %","4,249,980.00"
"TRADING","2019-12-22","563.18","563.18","548.56","555.42","0.00 %","3,720,320.00"
"TRADING","2019-12-23","547.76","590.5","547.24","570.99","0.00 %","4,242,870.00"
"TRADING","2019-12-24","555.16","594.22","555.16","572.58","0.00 %","18,728,600.00"
"TRADING","2019-12-25","575.2","579.98","568.1","570.33","0.00 %","1,040,860.00"
"TRADING","2019-12-26","561.88","607.43","561.88","606.05","0.00 %","13,676,900.00"
"TRADING","2019-12-29","615.29","656.04","610.17","653.93","0.00 %","13,225,500.00"
"TRADING","2019-12-30","663.96","682.44","653.66","669.09","0.00 %","24,750,400.00"
"TRADING","2019-12-31","658.8","697.09","658.8","682.88","0.00 %","18,140,900.00"
"TRADING","2020-01-01","685.92","700.65","670.93","686.72","0.00 %","12,380,600.00"
"TRADING","2020-01-02","687.24","687.24","670.18","682.77","0.00 %","2,193,710.00"
"TRADING","2020-01-05","679.72","700.31","671.81","689.11","0.00 %","6,356,940.00"
"TRADING","2020-01-06","678.55","688.85","667.88","676.85","0.00 %","2,866,080.00"
"TRADING","2020-01-07","702.72","702.72","651.47","677.87","0.00 %","1,847,860.00"
"TRADING","2020-01-08","687.9","687.9","670.29","670.29","0.00 %","2,614,060.00"
"TRADING","2020-01-09","680.32","680.32","667.15","674.54","0.00 %","1,548,250.00"
"TRADING","2020-01-12","682.72","694.21","658.83","686.13","0.00 %","17,134,100.00"
"TRADING","2020-01-13","698.54","732.37","684.59","711.25","0.00 %","14,880,200.00"
"TRADING","2020-01-14","701.48","777.51","701.48","776.32","0.00 %","21,282,000.00"
"TRADING","2020-01-15","779.53","851.93","779.53","839.79","0.00 %","18,469,500.00"
"TRADING","2020-01-16","843.34","908.02","843.34","868.38","0.00 %","13,910,900.00"
"TRADING","2020-01-19","882.11","899.68","834.22","860.4","0.00 %","12,430,700.00"
"TRADING","2020-01-20","843.56","852.71","795.84","805.81","0.00 %","17,620,000.00"
"TRADING","2020-01-21","808.94","834.81","791.66","814.02","0.00 %","10,598,300.00"
"TRADING","2020-01-22","824.84","824.84","798.4","802.89","0.00 %","5,185,290.00"
"TRADING","2020-01-23","804.83","813.28","779.09","791.23","0.00 %","9,074,450.00"
"TRADING","2020-01-26","779.09","803.9","771.17","774.51","0.00 %","6,376,830.00"
"TRADING","2020-01-27","771.55","809.09","771.55","809.09","0.00 %","4,111,650.00"
"TRADING","2020-01-28","812.05","818.13","785.54","785.54","0.00 %","5,996,090.00"
"TRADING","2020-01-29","785.54","801.84","780.89","801.84","0.00 %","4,035,360.00"
"TRADING","2020-01-30","804.54","804.54","786.53","786.53","0.00 %","6,558,600.00"
"TRADING","2020-02-02","783.66","797.84","783.66","785.91","0.00 %","7,039,130.00"
"TRADING","2020-02-03","788.55","790.34","782.48","783.53","0.00 %","4,675,020.00"
"TRADING","2020-02-04","785.22","785.22","774.29","775.81","0.00 %","3,182,330.00"
"TRADING","2020-02-05","788.22","816.53","786.11","803.86","0.00 %","8,155,660.00"
"TRADING","2020-02-06","807.82","835.27","800.82","802.66","0.00 %","8,547,440.00"
"TRADING","2020-02-09","789.73","810.05","788.84","797.03","0.00 %","3,085,120.00"
"TRADING","2020-02-10","808.11","808.11","794.91","805.44","0.00 %","202,790.00"
"TRADING","2020-02-11","818.11","820.9","794.77","794.77","0.00 %","3,161,080.00"
"TRADING","2020-02-12","790.54","829.3","790.29","808.22","0.00 %","7,828,640.00"
"TRADING","2020-02-13","821.15","858.05","817.14","832.11","0.00 %","12,625,100.00"
"TRADING","2020-02-16","835.24","883.76","832.03","843.13","0.00 %","25,309,100.00"
"TRADING","2020-02-17","856.07","887.74","856.07","885.1","0.00 %","16,762,600.00"
"TRADING","2020-02-18","896.72","896.72","869.1","888.05","0.00 %","12,529,900.00"
"TRADING","2020-02-19","873.53","896.34","873.53","896.34","0.00 %","5,938,250.00"
"TRADING","2020-02-20","899.38","911.3","886.49","886.49","0.00 %","8,230,360.00"
"TRADING","2020-02-23","900.48","968.36","885.7","959.59","0.00 %","20,627,600.00"
"TRADING","2020-02-24","943.76","948.14","925.42","944.18","0.00 %","7,207,440.00"
"TRADING","2020-02-25","935.47","997.55","935.47","991.27","0.00 %","7,720,800.00"
"TRADING","2020-02-26","994.56","1007.63","986.25","992.22","0.00 %","10,168,900.00"
"TRADING","2020-02-27","988.84","992.06","930.59","943.79","0.00 %","7,366,970.00"
"TRADING","2020-03-01","959.36","962.57","920.87","920.87","0.00 %","7,996,770.00"
